row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,14.582.279.695.081,(78.778.440.000),20.411.063.220.206,-,14582279695081.0,-78778440000.0,20411063220206.0,
Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,24.720.000.000,-,3.023.006.578.142,-,24720000000.0,,3023006578142.0,
Phải thu từ đặt cọc chuyển nhượng quyền kinh doanh tòa nhà (1),Phải thu từ đặt cọc chuyển nhượng quyền kinh doanh tòa nhà (1),Phải thu từ đặt cọc chuyển nhượng quyền kinh doanh tòa nhà (1),2.452.888.880.000,-,1.151.067.552.161,-,2452888880000.0,,1151067552161.0,
Phải thu từ hợp tác kinh doanh (2),Phải thu từ hợp tác kinh doanh (2),Phải thu từ hợp tác kinh doanh (2),2.186.560.400.000,-,2.186.560.400.000,-,2186560400000.0,,2186560400000.0,
Phải thu từ chuyển nhượng cổ phần (3),Phải thu từ chuyển nhượng cổ phần (3),Phải thu từ chuyển nhượng cổ phần (3),1.716.600.000.000,-,4.506.600.000.000,-,1716600000000.0,,4506600000000.0,
Chuyển nhượng cổ phần Công ty Đầu tư và Phát triển Pacific Star,Chuyển nhượng cổ phần Công ty Đầu tư và Phát triển Pacific Star,Chuyển nhượng cổ phần Công ty Đầu tư và Phát triển Pacific Star,636.600.000.000,-,2.436.600.000.000,-,636600000000.0,,2436600000000.0,
Chuyển nhượng cổ phần Công ty Cổ phần Vĩnh Sơn,Chuyển nhượng cổ phần Công ty Cổ phần Vĩnh Sơn,Chuyển nhượng cổ phần Công ty Cổ phần Vĩnh Sơn,1.080.000.000.000,-,2.070.000.000.000,-,1080000000000.0,,2070000000000.0,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,4.104.941.320.777,-,2.044.491.946.324,-,4104941320777.0,,2044491946324.0,
"Phải thu từ lãi tiền gửi, cho vay và BCC","Phải thu từ lãi tiền gửi, cho vay và BCC","Phải thu từ lãi tiền gửi, cho vay và BCC",297.848.693.600,-,293.085.862.361,-,297848693600.0,,293085862361.0,
Khác,Khác,Khác,3.798.720.400.704,(78.778.440.000),7.206.250.881.218,-,3798720400704.0,-78778440000.0,7206250881218.0,
Dài hạn,Dài hạn,Dài hạn,23.993.176.835.237,-,17.370.322.821.658,-,23993176835237.0,,17370322821658.0,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,12.563.933.622.570,-,11.120.140.803.877,-,12563933622570.0,,11120140803877.0,
Đặt cọc mua tàu bay sau 12 tháng tiếp theo (4),Đặt cọc mua tàu bay sau 12 tháng tiếp theo (4),Đặt cọc mua tàu bay sau 12 tháng tiếp theo (4),3.347.587.646.013,-,3.069.311.858.793,-,3347587646013.0,,3069311858793.0,
Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,2.632.673.168.297,-,2.051.906.249.573,-,2632673168297.0,,2051906249573.0,
Đặt cọc phục vụ mặt đất,Đặt cọc phục vụ mặt đất,Đặt cọc phục vụ mặt đất,410.578.419.232,-,330.426.370.184,-,410578419232.0,,330426370184.0,
Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,539.553.734.325,-,-,-,539553734325.0,,,
Khác,Khác,Khác,4.498.850.244.800,-,798.537.539.231,-,4498850244800.0,,798537539231.0,
,,,38.575.456.530.318,(78.778.440.000),37.781.386.041.864,-,38575456530318.0,-78778440000.0,37781386041864.0,
Phải thu ngắn hạn khác là các bên liên quan,Phải thu ngắn hạn khác là các bên liên quan,Phải thu ngắn hạn khác là các bên liên quan,2.242.496.969.953,-,4.739.430.940.065,-,2242496969953.0,,4739430940065.0,
Phải thu dài hạn khác là các bên liên quan,Phải thu dài hạn khác là các bên liên quan,Phải thu dài hạn khác là các bên liên quan,4.823.279.530.229,,783.517.789.652,,4823279530229.0,,783517789652.0,
