row_label_raw,row_label_full,Bên di vay,Nguyên tệ,Thời gianđáo hạn,31/12/2024VND,01/01/2024VND,numeric__Nguyên tệ,numeric__Thời gianđáo hạn,numeric__31/12/2024VND,numeric__01/01/2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,1.633.712.453.293,457.000.000.000,,,1633712453293.0,457000000000.0
Công ty Cổ Phần Menas Trường Sơn (*),Công ty Cổ Phần Menas Trường Sơn (*),Công ty Cổ Phần Menas Trường Sơn (*),VND,2025,517.400.000.000,-,,2025.0,517400000000.0,
Công ty Cổ phần Trường Sơn Plaza (*),Công ty Cổ phần Trường Sơn Plaza (*),Công ty Cổ phần Trường Sơn Plaza (*),VND,2025,338.710.531.793,457.000.000.000,,2025.0,338710531793.0,457000000000.0
Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),Công ty Cổ phần Angelica Aviation Capital Việt Nam (*),VND,2025,604.250.000.000,-,,2025.0,604250000000.0,
Khác,Khác,Khác,VND,2025,173.351.921.500,-,,2025.0,173351921500.0,
Dài hạn,Dài hạn,Dài hạn,,,50.000.000.000,55.145.921.500,,,50000000000.0,55145921500.0
Khác (**),Khác (**),Khác (**),VND,2027,50.000.000.000,55.145.921.500,,2027.0,50000000000.0,55145921500.0
,,,,,1.683.712.453.293,512.145.921.500,,,1683712453293.0,512145921500.0
