row_label_raw,row_label_full,col_0,Chương trình phần mềm VND,numeric__Chương trình phần mềm VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,48.138.908.433,48138908433.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,573.000.000,573000000.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,48.711.908.433,48711908433.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,
01/01/2024,GIÁ TRỊ HAO MÔN > 01/01/2024,01/01/2024,(33.402.889.717),-33402889717.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN > Khấu hao trong năm,Khấu hao trong năm,(2.817.384.565),-2817384565.0
31/12/2024,GIÁ TRỊ HAO MÔN > 31/12/2024,31/12/2024,(36.220.274.282),-36220274282.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,14.736.018.716,14736018716.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,12.491.634.151,12491634151.0
