row_label_raw,row_label_full,Công ty Cổ phần Angelica Aviation Capital Việt Nam > Công ty TNHH Technology Nam Anh,31/12/2024VND > -,01/01/2024VND > 1.268.260.000.000 > 1.220.000.000.000,numeric__31/12/2024VND > -,numeric__01/01/2024VND > 1.268.260.000.000 > 1.220.000.000.000
Công ty Cổ phần VietJetAir Cargo,Công ty Cổ phần VietJetAir Cargo,Công ty Cổ phần VietJetAir Cargo,175.175.605.090,-,175175605090.0,
Khác,Khác,Khác,1.367.553.162.586,989.354.808.048,1367553162586.0,989354808048.0
,,,1.542.728.767.676,3.477.614.808.048,1542728767676.0,3477614808048.0
Người mua trả tiền trước là các bên liên quan,Người mua trả tiền trước là các bên liên quan,Người mua trả tiền trước là các bên liên quan,175.255.194.320,16.122.273.539,175255194320.0,16122273539.0
Chi tiết Thuyết minh số 38.1,Chi tiết Thuyết minh số 38.1,Chi tiết Thuyết minh số 38.1,Chi tiết Thuyết minh số 38.1,Chi tiết Thuyết minh số 38.1,,
