row_label_raw,row_label_full,col_0,01/01/2024VND,TăngVND,GiảmVND,Chênh lệch tỷ giá do đánh giá lạiVND,31/12/2024VND,numeric__01/01/2024VND,numeric__TăngVND,numeric__GiảmVND,numeric__Chênh lệch tỷ giá do đánh giá lạiVND,numeric__31/12/2024VND
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),8.132.929.053.581,43.515.533.197.617,(39.993.513.609.058),17.468.146.771,11.672.416.788.911,8132929053581.0,43515533197617.0,-39993513609058.0,17468146771.0,11672416788911.0
Vay dài hạn đến hạn trả(Thuyết minh số 22(b) (i)),Vay dài hạn đến hạn trả(Thuyết minh số 22(b) (i)),Vay dài hạn đến hạn trả(Thuyết minh số 22(b) (i)),70.700.420.000,258.487.821.008,(67.430.200.000),(3.270.220.000),258.487.821.008,70700420000.0,258487821008.0,-67430200000.0,-3270220000.0,258487821008.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22(b) (ii)),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22(b) (ii)),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22(b) (ii)),5.000.000.000.000,-,(5.000.000.000.000),-,-,5000000000000.0,,-5000000000000.0,,
Nợ thuê tài chính đến hạn trả(Thuyết minh số 22(b) (iii)),Nợ thuê tài chính đến hạn trả(Thuyết minh số 22(b) (iii)),Nợ thuê tài chính đến hạn trả(Thuyết minh số 22(b) (iii)),305.164.895.027,314.082.071.109,(313.354.773.438),13.309.961.938,319.202.154.636,305164895027.0,314082071109.0,-313354773438.0,13309961938.0,319202154636.0
Bên liên quan (ii),Bên liên quan (ii),Bên liên quan (ii),45.000.000.000,90.000.000.000,(20.000.000.000),-,115.000.000.000,45000000000.0,90000000000.0,-20000000000.0,,115000000000.0
Bên khác (iii),Bên khác (iii),Bên khác (iii),-,3.859.550.000.000,(3.764.550.000.000),-,95.000.000.000,,3859550000000.0,-3764550000000.0,,95000000000.0
,,,13.553.794.368.608,48.037.653.089.734,(49.158.848.582.496),27.507.888.709,12.460.106.764.555,13553794368608.0,48037653089734.0,-49158848582496.0,27507888709.0,12460106764555.0
