row_label_raw,row_label_full,col_0,Tàu bayVND,numeric__Tàu bayVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,6.181.116.755.409,6181116755409.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,6.181.116.755.409,6181116755409.0
KHÁU HAO LỦY KẾ,KHÁU HAO LỦY KẾ,KHÁU HAO LỦY KẾ,KHÁU HAO LỦY KẾ,
01/01/2024,KHÁU HAO LỦY KẾ > 01/01/2024,01/01/2024,(45.692.292.485),-45692292485.0
Khấu hao trong năm,KHÁU HAO LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(309.093.393.079),-309093393079.0
31/12/2024,KHÁU HAO LỦY KẾ > 31/12/2024,31/12/2024,(354.785.685.564),-354785685564.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,6.135.424.462.924,6135424462924.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,5.826.331.069.845,5826331069845.0
