row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2023 Triệu VND,Tại ngày > 31.12.2022 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2023 Triệu VND,numeric__Tại ngày > 31.12.2022 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,14,88,505.876,,14.0,88.0,505876.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,88,505.876,,,88.0,505876.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,84.315.730,67.318.830,,15.0,84315730.0,67318830.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,80.745.540,60.025.722,,,80745540.0,60025722.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.570.190,7.293.108,,,3570190.0,7293108.0
III,B > III,III,Tiền gửi của khách hàng,16,483.649.253,415.754.187,,16.0,483649253.0,415754187.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,117.126,-,,8.0,117126.0,
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,41.534,60.188,,17.0,41534.0,60188.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,52.392.403,44.202.621,,18.0,52392403.0,44202621.0
VII,B > VII,VII,Các khoản nợ khác,,21.947.038,21.860.815,,,21947038.0,21860815.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,7.666.244,5.546.515,,,7666244.0,5546515.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,14.280.794,16.314.300,,19.0,14280794.0,16314300.0
,,,TỔNG NỘ PHẢI TRẢ,,642.463.172,549.702.517,,,642463172.0,549702517.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,69.251.749,57.257.430,,20.0,69251749.0,57257430.0
1,B > 1,1,Vốn của tổ chức tín dụng,,39.112.283,34.046.130,,,39112283.0,34046130.0
a,B > a,a,Vốn điều lệ,,38.840.504,33.774.351,,,38840504.0,33774351.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,11.119.536,8.791.274,,,11119536.0,8791274.0
5,B > 5,5,Lợi nhuận chưa phân phối,,19.019.930,14.420.026,,,19019930.0,14420026.0
a,B > a,a,Lợi nhuận năm nay,,13.193.492,11.592.730,,,13193492.0,11592730.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,5.826.438,2.827.296,,,5826438.0,2827296.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,69.251.749,57.257.430,,,69251749.0,57257430.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,711.714.921,606.959.947,,,711714921.0,606959947.0
