row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2023 Triệu VND,Năm 2022 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2023 Triệu VND,numeric__Năm 2022 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,21,51.763.519,40.193.091,,21.0,51763519.0,40193091.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(27.353.221),(17.086.337),,22.0,-27353221.0,-17086337.0
I,I,I,Thu nhập lãi thuần,,24.410.298,23.106.754,,,24410298.0,23106754.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,4.615.554,4.690.843,,23.0,4615554.0,4690843.0
4,4,4,Chi phí hoạt động dịch vụ,24,(1.930.477),(1.433.136),,24.0,-1930477.0,-1433136.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,2.685.077,3.257.707,,,2685077.0,3257707.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,25,1.109.601,1.047.204,,25.0,1109601.0,1047204.0
IV,IV,IV,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,26,15.499,(48.381),,26.0,15499.0,-48381.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,2.647.140,20.470,,27.0,2647140.0,20470.0
5,5,5,Thu nhập từ hoạt động khác,,1.069.406,1.023.362,,,1069406.0,1023362.0
6,6,6,Chi phí hoạt động khác,,(268.748),(158.543),,,-268748.0,-158543.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,800.658,864.819,,28.0,800658.0,864819.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cố phần",29,63.720,108.442,,29.0,63720.0,108442.0
VIII,VIII,VIII,Chi phí hoạt động,30,(10.514.870),(11.261.725),,30.0,-10514870.0,-11261725.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,,21.217.123,17.095.290,,,21217123.0,17095290.0
X,X,X,Chi phí dự phòng rủi ro tin dụng,31,(1.783.020),(73.443),,31.0,-1783020.0,-73443.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,19.434.103,17.021.847,,,19434103.0,17021847.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,32.1,(3.881.918),(3.402.934),,321.0,-3881918.0,-3402934.0
8,8,8,(Chi phí)/thu nhập thuế thu nhập doanh nghiệp hoãn lại,32.2,(30.431),19.596,,322.0,-30431.0,19596.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,32,(3.912.349),(3.383.338),,32.0,-3912349.0,-3383338.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,15.521.754,13.638.509,,,15521754.0,13638509.0
