row_label_raw,row_label_full,col_0,Bằng đồng Việt NamTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,numeric__Bằng đồng Việt NamTriệu VND,numeric__Bằng ngoại tệTriệu VND,numeric__Tổng cộngTriệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,42.766,-,42.766,42766.0,,42766.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,61.394.470,73.559.465,134.953.935,61394470.0,73559465.0,134953935.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,965.298,965.298,,965298.0,965298.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,-,1.218.548,1.218.548,,1218548.0,1218548.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,3.295.550,111.145,3.406.695,3295550.0,111145.0,3406695.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.943.594,47.729,1.991.323,1943594.0,47729.0,1991323.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,547.715,-,547.715,547715.0,,547715.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,5.865.676,111.465,5.977.141,5865676.0,111465.0,5977141.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,11.209.105,3.201.123,14.410.228,11209105.0,3201123.0,14410228.0
,,,84.298.876,79.214.773,163.513.649,84298876.0,79214773.0,163513649.0
