row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình (Thuyết minh 12.1) > Chuyển sang TSCĐ vô hình (Thuyết minh 12.2),Năm 2023Triệu VND > 582.596 > 1.020.831 > (200.705) > (234.714),Năm 2022Triệu VND > 476.993 > 170.290 > (7.565) > (93.302),numeric__Năm 2023Triệu VND > 582.596 > 1.020.831 > (200.705) > (234.714),numeric__Năm 2022Triệu VND > 476.993 > 170.290 > (7.565) > (93.302)
Phân loại lại,Phân loại lại,Phân loại lại,-,36.180,,36180.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.168.008,582.596,1168008.0,582596.0
