row_label_raw,row_label_full,col_0,Thuyết minh,31.12.2023Triệu VND,31.12.2022Triệu VND,numeric__Thuyết minh,numeric__31.12.2023Triệu VND,numeric__31.12.2022Triệu VND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,11.2,4.505.000,3.505.000,112.0,4505000.0,3505000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,11.3,241.467,241.467,113.0,241467.0,241467.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,11.4,(163.362),(156.573),114.0,-163362.0,-156573.0
,,,,4.583.105,3.589.894,,4583105.0,3589894.0
11.2,11.2,11.2,Đầu tư vào công ty con,,,,,
,,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,,
Công ty TNHH Chứng khoán ACB,11.2 > Công ty TNHH Chứng khoán ACB,Công ty TNHH Chứng khoán ACB,,4.000.000,3.000.000,,4000000.0,3000000.0
Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu,11.2 > Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu,Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu,,5.000,5.000,,5000.0,5000.0
Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu,11.2 > Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu,Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu,,500.000,500.000,,500000.0,500000.0
,,,,4.505.000,3.505.000,,4505000.0,3505000.0
11.3,11.3,11.3,Đầu tư dài hạn khác,,,,,
,,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,,
Đầu tư vào các TCKT trong nước - Đã niêm yết,11.3 > Đầu tư vào các TCKT trong nước - Đã niêm yết,Đầu tư vào các TCKT trong nước - Đã niêm yết,,181.339,181.339,,181339.0,181339.0
Đầu tư vào các TCKT trong nước - Chưa niêm yết,11.3 > Đầu tư vào các TCKT trong nước - Chưa niêm yết,Đầu tư vào các TCKT trong nước - Chưa niêm yết,,60.128,60.128,,60128.0,60128.0
,,,,241.467,241.467,,241467.0,241467.0
11.4,11.4,11.4,Dự phòng giảm giá đầu tư dài hạn,,,,,
,,,,,Triệu VND,,,
Tại ngày 1 tháng 1 năm 2022,11.4 > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,,,127.392,,,127392.0
Trích lập trong năm (Thuyết minh 30(i)),11.4 > Trích lập trong năm (Thuyết minh 30(i)),Trích lập trong năm (Thuyết minh 30(i)),,,29.181,,,29181.0
Tại ngày 31 tháng 12 năm 2022,11.4 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,156.573,,,156573.0
Trích lập trong năm (Thuyết minh 30(i)),11.4 > Trích lập trong năm (Thuyết minh 30(i)),Trích lập trong năm (Thuyết minh 30(i)),,,6.789,,,6789.0
Tại ngày 31 tháng 12 năm 2023,11.4 > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,163.362,,,163362.0
