row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2023Triệu VND,Tại ngày > 31.12.2022Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2023Triệu VND,numeric__Tại ngày > 31.12.2022Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,6.909.295,8.460.883,,4.0,6909295.0,8460883.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,18.504.709,13.657.531,,5.0,18504709.0,13657531.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,111.175.983,85.689.411,,6.0,111175983.0,85689411.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,110.121.654,81.311.460,,,110121654.0,81311460.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.104.329,4.427.951,,,1104329.0,4427951.0
3,A > 3,3,Dự phòng rủi ro,6.3,(50.000),(50.000),,63.0,-50000.0,-50000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,5.879.766,644.059,,7.0,5879766.0,644059.0
1,A > 1,1,Chứng khoán kinh doanh,7.1,5.879.766,644.059,,71.0,5879766.0,644059.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,-,100.072,,8.0,,100072.0
VI,A > VI,VI,Cho vay khách hàng,9,476.062.518,405.441.889,,9.0,476062518.0,405441889.0
1,A > 1,1,Cho vay khách hàng,,481.276.138,410.153.319,,,481276138.0,410153319.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(5.213.620),(4.711.430),,97.0,-5213620.0,-4711430.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,73.463.347,75.534.794,,10.0,73463347.0,75534794.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,44.903.768,31.854.915,,,44903768.0,31854915.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,28.559.579,43.679.879,,,28559579.0,43679879.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,4.583.105,3.589.894,,11.0,4583105.0,3589894.0
1,A > 1,1,Đầu tư vào công ty con,11.2,4.505.000,3.505.000,,112.0,4505000.0,3505000.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,241.467,241.467,,113.0,241467.0,241467.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(163.362),(156.573),,114.0,-163362.0,-156573.0
X,A > X,X,Tài sản cố định,12,4.680.080,3.904.151,,12.0,4680080.0,3904151.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,3.251.505,2.784.691,,121.0,3251505.0,2784691.0
a,A > a,a,Nguyên giá tài sản cố định,,6.096.640,5.380.128,,,6096640.0,5380128.0
b,A > b,b,Hao mòn tài sản cố định,,(2.845.135),(2.595.437),,,-2845135.0,-2595437.0
3,A > 3,3,Tài sản cố định vô hình,12.2,1.428.575,1.119.460,,122.0,1428575.0,1119460.0
a,A > a,a,Nguyên giá tài sản cố định,,2.035.730,1.652.719,,,2035730.0,1652719.0
b,A > b,b,Hao mòn tài sản cố định,,(607.155),(533.259),,,-607155.0,-533259.0
XII,A > XII,XII,Tài sản Có khác,13,10.456.118,9.937.263,,13.0,10456118.0,9937263.0
1,A > 1,1,Các khoản phải thu,13.1,5.387.459,4.920.223,,131.0,5387459.0,4920223.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,4.203.937,4.061.377,,,4203937.0,4061377.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,13.2,33.535,63.966,,132.0,33535.0,63966.0
4,A > 4,4,Tài sản Có khác,13.3,1.003.880,1.062.633,,133.0,1003880.0,1062633.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,13.4,(172.693),(170.936),,134.0,-172693.0,-170936.0
,,,TỔNG TÀI SẢN,,711.714.921,606.959.947,,,711714921.0,606959947.0
