row_label_raw,row_label_full,col_0,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
Thu nhập lãi từ cho vay công ty con,Thu nhập lãi từ cho vay công ty con,Thu nhập lãi từ cho vay công ty con,57.021,38.026,57021.0,38026.0
Thu nhập lãi từ cho vay các bên liên quan khác (i),Thu nhập lãi từ cho vay các bên liên quan khác (i),Thu nhập lãi từ cho vay các bên liên quan khác (i),20.086,10.485,20086.0,10485.0
Chi phí lãi trả cho tiền gửi của các công ty con,Chi phí lãi trả cho tiền gửi của các công ty con,Chi phí lãi trả cho tiền gửi của các công ty con,78.602,41.291,78602.0,41291.0
Chi phí lãi trả cho tiền gửi của các bên liên quan khác (i),Chi phí lãi trả cho tiền gửi của các bên liên quan khác (i),Chi phí lãi trả cho tiền gửi của các bên liên quan khác (i),62.887,25.573,62887.0,25573.0
Thu phí từ các công ty con,Thu phí từ các công ty con,Thu phí từ các công ty con,84,101,84.0,101.0
Thu khác từ công ty con,Thu khác từ công ty con,Thu khác từ công ty con,1.639,1.996,1639.0,1996.0
Phí trả cho các công ty con,Phí trả cho các công ty con,Phí trả cho các công ty con,924,143.452,924.0,143452.0
Thu nhập từ lợi nhuận được chia từ các công ty con,Thu nhập từ lợi nhuận được chia từ các công ty con,Thu nhập từ lợi nhuận được chia từ các công ty con,612,63.060,612.0,63060.0
Thu nhập cổ tức từ các bên liên quan khác (i),Thu nhập cổ tức từ các bên liên quan khác (i),Thu nhập cổ tức từ các bên liên quan khác (i),49.852,-,49852.0,
Chuyển nhượng khoản đầu tư cho công ty con,Chuyển nhượng khoản đầu tư cho công ty con,Chuyển nhượng khoản đầu tư cho công ty con,-,51.400,,51400.0
Góp vốn vào các công ty con,Góp vốn vào các công ty con,Góp vốn vào các công ty con,1.000.000,-,1000000.0,
Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,99.941,67.281,99941.0,67281.0
Thù lao trả cho Hội đồng Quản trị,Thù lao trả cho Hội đồng Quản trị,Thù lao trả cho Hội đồng Quản trị,34.617,25.737,34617.0,25737.0
Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,9.990,8.477,9990.0,8477.0
