row_label_raw,row_label_full,col_0,Năm 2023 > Miền Bắc Triệu VND,Năm 2023 > Miền Trung Triệu VND,Năm 2023 > Miền Nam Triệu VND,Năm 2023 > Loại trừ Triệu VND,Năm 2023 > Tổng cộng Triệu VND,numeric__Năm 2023 > Miền Bắc Triệu VND,numeric__Năm 2023 > Miền Trung Triệu VND,numeric__Năm 2023 > Miền Nam Triệu VND,numeric__Năm 2023 > Loại trừ Triệu VND,numeric__Năm 2023 > Tổng cộng Triệu VND
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,,,,
1. Thu nhập lãi,Thu nhập > 1. Thu nhập lãi,1. Thu nhập lãi,14.083.721,9.646.887,98.806.175,(70.773.264),51.763.519,14083721.0,9646887.0,98806175.0,-70773264.0,51763519.0
Thu nhập lãi từ khách hàng bên ngoài,Thu nhập > Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,7.190.295,7.066.285,37.506.939,-,51.763.519,7190295.0,7066285.0,37506939.0,,51763519.0
Thu nhập lãi từ nội bộ,Thu nhập > Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,6.893.426,2.580.602,61.299.236,(70.773.264),-,6893426.0,2580602.0,61299236.0,-70773264.0,
2. Thu nhập từ hoạt động dịch vụ,Thu nhập > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,213.326,74.150,4.328.078,-,4.615.554,213326.0,74150.0,4328078.0,,4615554.0
3. Thu nhập từ hoạt động kinh doanh khác,Thu nhập > 3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,104.508,66.840,4.734.018,-,4.905.366,104508.0,66840.0,4734018.0,,4905366.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(10.236.703),(6.942.529),(80.947.253),70.773.264,(27.353.221),-10236703.0,-6942529.0,-80947253.0,70773264.0,-27353221.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(4.304.288),(1.552.931),(21.496.002),-,(27.353.221),-4304288.0,-1552931.0,-21496002.0,,-27353221.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(5.932.415),(5.389.598),(59.451.251),70.773.264,-,-5932415.0,-5389598.0,-59451251.0,70773264.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(25.076),(26.355),(317.198),-,(368.629),-25076.0,-26355.0,-317198.0,,-368629.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.439.534),(1.076.393),(9.829.539),-,(12.345.466),-1439534.0,-1076393.0,-9829539.0,,-12345466.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.700.242,1.742.600,16.774.281,-,21.217.123,2700242.0,1742600.0,16774281.0,,21217123.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(130.558),(213.308),(1.439.154),-,(1.783.020),-130558.0,-213308.0,-1439154.0,,-1783020.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.569.684,1.529.292,15.335.127,-,19.434.103,2569684.0,1529292.0,15335127.0,,19434103.0
