row_label_raw,row_label_full,Năm 2022 > Miền BắcTriệu VND,Năm 2022 > Miền TrungTriệu VND,Năm 2022 > Miền NamTriệu VND,Năm 2022 > Loại trừTriệu VND,Năm 2022 > Tổng cộngTriệu VND,numeric__Năm 2022 > Miền TrungTriệu VND,numeric__Năm 2022 > Miền NamTriệu VND,numeric__Năm 2022 > Loại trừTriệu VND,numeric__Năm 2022 > Tổng cộngTriệu VND
10.360.284,10.360.284,10.360.284,7.793.123,77.448.701,(55.409.017),40.193.091,7793123.0,77448701.0,-55409017.0,40193091.0
5.564.179,5.564.179,5.564.179,5.643.580,28.985.332,-,40.193.091,5643580.0,28985332.0,,40193091.0
4.796.105,4.796.105,4.796.105,2.149.543,48.463.369,(55.409.017),-,2149543.0,48463369.0,-55409017.0,
252.685,252.685,252.685,86.576,4.351.582,-,4.690.843,86576.0,4351582.0,,4690843.0
101.832,101.832,101.832,118.304,1.979.342,-,2.199.478,118304.0,1979342.0,,2199478.0
(7.405.944),(7.405.944),(7.405.944),(5.549.408),(59.540.002),55.409.017,(17.086.337),-5549408.0,-59540002.0,55409017.0,-17086337.0
(2.568.018),(2.568.018),(2.568.018),(924.384),(13.593.935),-,(17.086.337),-924384.0,-13593935.0,,-17086337.0
(4.837.926),(4.837.926),(4.837.926),(4.625.024),(45.946.067),55.409.017,-,-4625024.0,-45946067.0,55409017.0,
(24.352),(24.352),(24.352),(22.439),(305.818),-,(352.609),-22439.0,-305818.0,,-352609.0
(1.371.743),(1.371.743),(1.371.743),(989.498),(10.187.935),-,(12.549.176),-989498.0,-10187935.0,,-12549176.0
1.912.762,1.912.762,1.912.762,1.436.658,13.745.870,-,17.095.290,1436658.0,13745870.0,,17095290.0
178.354,178.354,178.354,250.364,(502.161),-,(73.443),250364.0,-502161.0,,-73443.0
2.091.116,2.091.116,2.091.116,1.687.022,13.243.709,-,17.021.847,1687022.0,13243709.0,,17021847.0
