row_label_raw,row_label_full,col_0,col_1,31.12.2023Triệu VND,31.12.2022Triệu VND,numeric__col_1,numeric__31.12.2023Triệu VND,numeric__31.12.2022Triệu VND
,,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,,
,,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,,
Nhóm 1 - Nợ đủ tiêu chuẩn,Nhóm 1 - Nợ đủ tiêu chuẩn,Nhóm 1 - Nợ đủ tiêu chuẩn,Nhóm 1 - Nợ đủ tiêu chuẩn,28.081.722,22.358.874,,28081722.0,22358874.0
10.3 Tính trạng niêm yết,10.3 Tính trạng niêm yết,10.3 Tính trạng niêm yết,10.3 Tính trạng niêm yết,10.3 Tính trạng niêm yết,10.3 Tính trạng niêm yết,,,
,,,,31.12.2023Triệu VND,31.12.2022Triệu VND,,,
Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ,,,
Đã niêm yết,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ > Đã niêm yết,Đã niêm yết,Đã niêm yết,20.515.956,11.441.467,,20515956.0,11441467.0
Chưa niêm yết,Chứng khoán đầu tư sẵn sàng đề bánChứng khoán nợ > Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,24.375.151,20.400.787,,24375151.0,20400787.0
,,,,44.891.107,31.842.254,,44891107.0,31842254.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,,,
Đã niêm yết,Chứng khoán vốn > Đã niêm yết,Đã niêm yết,Đã niêm yết,12.661,12.661,,12661.0,12661.0
,,,,44.903.768,31.854.915,,44903768.0,31854915.0
Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ,,,
Đã niêm yết,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ > Đã niêm yết,Đã niêm yết,Đã niêm yết,24.853.008,41.721.792,,24853008.0,41721792.0
Chưa niêm yết,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Chứng khoán nợ > Chưa niêm yết,Chưa niêm yết,Chưa niêm yết,3.706.571,1.958.087,,3706571.0,1958087.0
,,,,28.559.579,43.679.879,,28559579.0,43679879.0
