row_label_raw,row_label_full,(i) Rủi ro lãi suất (tiếp theo),(i) Rủi ro lãi suất (tiếp theo)_1,(i) Rủi ro lãi suất (tiếp theo)_2,(i) Rủi ro lãi suất (tiếp theo)_3,(i) Rủi ro lãi suất (tiếp theo)_4,(i) Rủi ro lãi suất (tiếp theo)_5,(i) Rủi ro lãi suất (tiếp theo)_6,(i) Rủi ro lãi suất (tiếp theo)_7,(i) Rủi ro lãi suất (tiếp theo)_8,(i) Rủi ro lãi suất (tiếp theo)_9,numeric__(i) Rủi ro lãi suất (tiếp theo)_1,numeric__(i) Rủi ro lãi suất (tiếp theo)_2,numeric__(i) Rủi ro lãi suất (tiếp theo)_3,numeric__(i) Rủi ro lãi suất (tiếp theo)_4,numeric__(i) Rủi ro lãi suất (tiếp theo)_5,numeric__(i) Rủi ro lãi suất (tiếp theo)_6,numeric__(i) Rủi ro lãi suất (tiếp theo)_7,numeric__(i) Rủi ro lãi suất (tiếp theo)_8,numeric__(i) Rủi ro lãi suất (tiếp theo)_9
,,,Quá hạn,Không chịu lãi suất,Dưới 1 tháng,Từ 1 tháng đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Đơn vị: Triệu VND,,,,,,,,,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,,,,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,6.909.295,-,-,-,-,-,-,6.909.295,,6909295.0,,,,,,,6909295.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,18.504.709,-,-,-,-,-,-,18.504.709,,18504709.0,,,,,,,18504709.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,50.000,74.167.604,36.947.379,-,-,-,61.000,111.225.983,,50000.0,74167604.0,36947379.0,,,,61000.0,111225983.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,5.879.766,-,-,-,-,-,-,5.879.766,,5879766.0,,,,,,,5879766.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),8.765.595,-,8.072.938,436.606.882,24.521.207,2.801.019,241.912,266.585,481.276.138,8765595.0,,8072938.0,436606882.0,24521207.0,2801019.0,241912.0,266585.0,481276138.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,12.661,-,-,3.174.695,20.043.215,4.963.845,45.268.931,73.463.347,,12661.0,,,3174695.0,20043215.0,4963845.0,45268931.0,73463347.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,4.746.467,-,-,-,-,-,-,4.746.467,,4746467.0,,,,,,,4746467.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.680.080,-,-,-,-,-,-,4.680.080,,4680080.0,,,,,,,4680080.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),176.700,10.452.111,-,-,-,-,-,-,10.628.811,176700.0,10452111.0,,,,,,,10628811.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.942.295,51.235.089,82.240.542,473.554.261,27.695.902,22.844.234,5.205.757,45.596.516,717.314.596,8942295.0,51235089.0,82240542.0,473554261.0,27695902.0,22844234.0,5205757.0,45596516.0,717314596.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,88,-,-,-,-,-,88,,,88.0,,,,,,88.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,50.571.186,31.970.131,1.763.505,10.908,-,-,84.315.730,,,50571186.0,31970131.0,1763505.0,10908.0,,,84315730.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,115.509.370,126.539.572,148.673.678,54.729.529,38.197.104,-,483.649.253,,,115509370.0,126539572.0,148673678.0,54729529.0,38197104.0,,483649253.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,117.126,-,-,-,-,-,-,117.126,,117126.0,,,,,,,117126.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,26.854,-,-,-,14.680,41.534,,,,26854.0,,,,14680.0,41534.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,13.750.000,36.231.551,2.410.852,52.392.403,,,,,,13750000.0,36231551.0,2410852.0,52392403.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,21.947.038,-,-,-,-,-,-,21.947.038,,21947038.0,,,,,,,21947038.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,22.064.164,166.080.644,158.536.557,150.437.183,68.490.437,74.428.655,2.425.532,642.463.172,,22064164.0,166080644.0,158536557.0,150437183.0,68490437.0,74428655.0,2425532.0,642463172.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,8.942.295,29.170.925,(83.840.102),315.017.704,(122.741.281),(45.646.203),(69.222.898),43.170.984,74.851.424,8942295.0,29170925.0,-83840102.0,315017704.0,-122741281.0,-45646203.0,-69222898.0,43170984.0,74851424.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,163.283,-,27.256,(564.237),(242.817),609.250,-,(7.265),,163283.0,,27256.0,-564237.0,-242817.0,609250.0,,-7265.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",8.942.295,29.334.208,(83.840.102),315.044.960,(123.305.518),(45.889.020),(68.613.648),43.170.984,74.844.159,8942295.0,29334208.0,-83840102.0,315044960.0,-123305518.0,-45889020.0,-68613648.0,43170984.0,74844159.0
