row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên3 tháng,Đến3 tháng,Đến1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên5 năm,Tổng cộng,,,,,,,,
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.909.295,-,-,-,-,6.909.295,,,6909295.0,,,,,6909295.0
Tiền gửi tại Ngân hàng Nhà nước,Tải sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,18.504.709,-,-,-,-,18.504.709,,,18504709.0,,,,,18504709.0
Tiền gửi và cho vay các TCTD khác (i),Tải sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,97.143.554,13.208.029,78.000,556.400,240.000,111.225.983,,,97143554.0,13208029.0,78000.0,556400.0,240000.0,111225983.0
Chủng khoán kinh doanh (i),Tải sản > Chủng khoán kinh doanh (i),Chủng khoán kinh doanh (i),-,-,5.879.766,-,-,-,-,5.879.766,,,5879766.0,,,,,5879766.0
Cho vay khách hàng (i),Tải sản > Cho vay khách hàng (i),Cho vay khách hàng (i),4.840.179,3.925.416,28.568.468,77.011.701,217.065.381,22.863.780,127.001.213,481.276.138,4840179.0,3925416.0,28568468.0,77011701.0,217065381.0,22863780.0,127001213.0,481276138.0
Chủng khoán đầu tư (i),Tải sản > Chủng khoán đầu tư (i),Chủng khoán đầu tư (i),-,-,2.396.815,5.970.674,20.679.947,8.890.378,35.525.533,73.463.347,,,2396815.0,5970674.0,20679947.0,8890378.0,35525533.0,73463347.0
"Góp vốn, đầu tư dài hạn (i)","Tải sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,4.746.467,4.746.467,,,,,,,4746467.0,4746467.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,-,-,-,4.680.080,4.680.080,,,,,,,4680080.0,4680080.0
Tải sản Có khác (i),Tải sản > Tải sản Có khác (i),Tải sản Có khác (i),176.598,102,10.452.111,-,-,-,-,10.628.811,176598.0,102.0,10452111.0,,,,,10628811.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,5.016.777,3.925.518,169.854.718,96.190.404,237.823.328,32.310.558,172.193.293,717.314.596,5016777.0,3925518.0,169854718.0,96190404.0,237823328.0,32310558.0,172193293.0,717314596.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,88,-,-,-,-,88,,,88.0,,,,,88.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,74.184.721,9.794.351,335.735,923,-,84.315.730,,,74184721.0,9794351.0,335735.0,923.0,,84315730.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,244.381.386,104.027.998,131.037.851,4.202.018,-,483.649.253,,,244381386.0,104027998.0,131037851.0,4202018.0,,483649253.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,117.126,-,-,-,-,117.126,,,117126.0,,,,,117126.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.531,9.325,23.173,5.505,41.534,,,,3531.0,9325.0,23173.0,5505.0,41534.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,900.000,4.598.904,25.583.348,21.082.907,227.244,52.392.403,,,900000.0,4598904.0,25583348.0,21082907.0,227244.0,52392403.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,21.947.038,-,-,-,-,21.947.038,,,21947038.0,,,,,21947038.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,341.530.359,118.424.784,156.966.259,25.309.021,232.749,642.463.172,,,341530359.0,118424784.0,156966259.0,25309021.0,232749.0,642463172.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,5.016.777,3.925.518,(171.675.641),(22.234.380),80.857.069,7.001.537,171.960.544,74.851.424,5016777.0,3925518.0,-171675641.0,-22234380.0,80857069.0,7001537.0,171960544.0,74851424.0
