row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹkhác (i)Triệu VND,Lợi nhuậnchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự trữbổ sung vốnđiều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹkhác (i)Triệu VND,numeric__Lợi nhuậnchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,27.019.481,271.779,2.001.070,4.744.306,121,9.732.164,43.768.921,27019481.0,271779.0,2001070.0,4744306.0,121.0,9732164.0,43768921.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,13.638.509,13.638.509,,,,,,13638509.0,13638509.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,681.926,1.363.851,-,(2.045.777),-,,,681926.0,1363851.0,,-2045777.0,
"Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,6.754.870,-,-,-,-,(6.754.870),-,6754870.0,,,,,-6754870.0,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,33.774.351,271.779,2.682.996,6.108.157,121,14.420.026,57.257.430,33774351.0,271779.0,2682996.0,6108157.0,121.0,14420026.0,57257430.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,15.521.754,15.521.754,,,,,,15521754.0,15521754.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,776.087,1.552.175,-,(2.328.262),-,,,776087.0,1552175.0,,-2328262.0,
"Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng,phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(150.000),(150.000),,,,,,-150000.0,-150000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),5.066.153,-,-,-,-,(5.066.153),-,5066153.0,,,,,-5066153.0,
Chia cổ tức bằng tiền mặt(Thuyết minh 20.3),Chia cổ tức bằng tiền mặt(Thuyết minh 20.3),Chia cổ tức bằng tiền mặt(Thuyết minh 20.3),-,-,-,-,-,(3.377.435),(3.377.435),,,,,,-3377435.0,-3377435.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,38.840.504,271.779,3.459.083,7.660.332,121,19.019.930,69.251.749,38840504.0,271779.0,3459083.0,7660332.0,121.0,19019930.0,69251749.0
