row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm
I,I,I,Loại FVTPL,,,,,,,,,,,
3,I > 3,3,Cổ phiếu chưa niêm yết,576.830.917.590,559.224.387.540,(17.606.530.050),(19.810.683.145),2.204.153.095,,576830917590.0,559224387540.0,-17606530050.0,-19810683145.0,2204153095.0
4,I > 4,4,Trải phiếu niêm yết,792.728.150.972,784.949.352.684,(7.778.798.288),-,(7.778.798.288),,792728150972.0,784949352684.0,-7778798288.0,,-7778798288.0
5,I > 5,5,Trải phiếu chưa niêm yết,12.175.839.946.558,12.175.839.946.558,-,-,-,,12175839946558.0,12175839946558.0,,,
6,I > 6,6,Chứng chỉ tiền gửi,16.436.846.487.020,16.436.846.487.020,-,-,-,,16436846487020.0,16436846487020.0,,,
II,I > II,II,Loại AFS,389.566.237.912,381.708.255.604,(7.857.982.308),(4.741.291.386),(3.116.690.922),,389566237912.0,381708255604.0,-7857982308.0,-4741291386.0,-3116690922.0
1,I > 1,1,Cổ phiếu niêm yết,125.504.190.922,122.387.500.000,(3.116.690.922),-,(3.116.690.922),,125504190922.0,122387500000.0,-3116690922.0,,-3116690922.0
2,I > 2,2,Cổ phiếu chưa niêm yết,241.682.764.524,236.941.473.138,(4.741.291.386),(4.741.291.386),-,,241682764524.0,236941473138.0,-4741291386.0,-4741291386.0,
3,I > 3,3,Trải phiếu chưa niêm yết,22.379.282.466,22.379.282.466,-,-,-,,22379282466.0,22379282466.0,,,
,,,Tổng cộng,30.949.469.501.163,30.874.764.303.696,(74.705.197.467),2.188.775.431,(76.893.972.898),,30949469501163.0,30874764303696.0,-74705197467.0,2188775431.0,-76893972898.0
