row_label_raw,row_label_full,STT,Danh mục các loại chứng quyền Công ty phát hành,Giá trị phát hành theo số kế toán,Giá trị thị trường,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại dấu năm,Đơn vị tính: VND Chênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại chứng quyền Công ty phát hành,numeric__Giá trị phát hành theo số kế toán,numeric__Giá trị thị trường,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại dấu năm,numeric__Đơn vị tính: VND Chênh lệch thuần điều chỉnh số kế toán trong năm
1,1,1,HPG/7M/SSI/C/EU/Cash-13,4.823.201.828,2.708.316.000,2.114.885.828,-,2.114.885.828,,4823201828.0,2708316000.0,2114885828.0,,2114885828.0
2,2,2,STB/7M/SSI/C/EU/Cash-13,2.001.714.829,2.121.727.000,(120.012.171),-,(120.012.171),,2001714829.0,2121727000.0,-120012171.0,,-120012171.0
3,3,3,MWG/7M/SSI/C/EU/Cash-13,1.972.494.990,1.117.508.000,854.986.990,-,854.986.990,,1972494990.0,1117508000.0,854986990.0,,854986990.0
4,4,4,TCB/12M/SSI/C/EU/Cash-13,1.707.768.318,1.728.342.000,(20.573.682),-,(20.573.682),,1707768318.0,1728342000.0,-20573682.0,,-20573682.0
5,5,5,Chứng quyền khác,23.200.087.161,15.459.578.000,7.740.509.161,173.141.304.416,(165.400.795.255),,23200087161.0,15459578000.0,7740509161.0,173141304416.0,-165400795255.0
,,,Tổng cộng,33.705.267.126,23.135.471.000,10.569.796.126,173.141.304.416,(162.571.508.290),,33705267126.0,23135471000.0,10569796126.0,173141304416.0,-162571508290.0
