row_label_raw,row_label_full,Số đầu năm > Mua trong năm > Thanh lý công ty liên kết trong năm,Năm nay > 602.489.410.242 > - > (34.621.700.000),Đơn vị tính: VNDNăm trước > 785.069.409.790 > 56.242.200.000 > (283.338.631.192),numeric__Năm nay > 602.489.410.242 > - > (34.621.700.000),numeric__Đơn vị tính: VNDNăm trước > 785.069.409.790 > 56.242.200.000 > (283.338.631.192)
Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tai công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tai công ty con của công ty liên kết,Điều chỉnh do công ty liên kết thay đổi tỷ lệ sở hữu tai công ty con của công ty liên kết,10.643.136.485,31.957.963.865,10643136485.0,31957963865.0
Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,Lãi từ công ty liên kết ghi nhận vào báo cáo kết quả hoạt động hợp nhất trong năm,38.094.115.482,33.537.927.279,38094115482.0,33537927279.0
- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,- Phần chia sẻ lãi trong năm,38.094.115.482,33.537.927.279,38094115482.0,33537927279.0
Cổ tức thực nhận,Cổ tức thực nhận,Cổ tức thực nhận,-,(20.979.459.500),,-20979459500.0
Số cuối năm,Số cuối năm,Số cuối năm,616.604.962.209,602.489.410.242,616604962209.0,602489410242.0
