row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2022,Quá hạn (bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2022,Không kỳ hạn > Ngày 31 tháng 12 năm 2022,Đến 01 năm > Ngày 31 tháng 12 năm 2022,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2022,Trên 05 năm > Ngày 31 tháng 12 năm 2022,Tổng cộng > Ngày 31 tháng 12 năm 2022,numeric__Quá hạn (bao gồm số dư đã trích lập dự phòng) > Ngày 31 tháng 12 năm 2022,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2022,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2022,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2022,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2022,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2022
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,907.209.511.917,510.597.750.814,-,-,1.417.807.262.731,,907209511917.0,510597750814.0,,,1417807262731.0
Tài sản tài chính,TÀI SẢN > Tài sản tài chính,Tài sản tài chính,5.014.766.224,31.060.316.406.028,14.374.097.774.500,-,2.773.073.277.309,48.212.502.224.061,5014766224.0,31060316406028.0,14374097774500.0,,2773073277309.0,48212502224061.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,,30.493.056.048.092,-,-,-,30.493.056.048.092,,30493056048092.0,,,,30493056048092.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,TÀI SẢN > Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,Tài sản tài chính ghi nhận thông qua lãi/lỗ Giữ đến ngày đào hạn,,-,3.507.501.552.879,-,2.156.468.315.100,5.663.969.867.979,,,3507501552879.0,,2156468315100.0,5663969867979.0
Các khoản cho vay,TÀI SẢN > Các khoản cho vay,Các khoản cho vay,5.014.766.224,185.552.102.332,10.866.596.221.621,-,-,11.057.163.090.177,5014766224.0,185552102332.0,10866596221621.0,,,11057163090177.0
Sản sàng để bản,TÀI SẢN > Sản sàng để bản,Sản sàng để bản,-,381.708.255.604,-,-,-,381.708.255.604,,381708255604.0,,,,381708255604.0
Góp vốn đầu tư dài hạn,TÀI SẢN > Góp vốn đầu tư dài hạn,Góp vốn đầu tư dài hạn,-,-,-,-,616.604.962.209,616.604.962.209,,,,,616604962209.0,616604962209.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,234.189.665.095,493.884.694.942,375.000.000,307.830.916.316,265.112.905.732,1.301.393.182.085,234189665095.0,493884694942.0,375000000.0,307830916316.0,265112905732.0,1301393182085.0
"Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > Các khoản cầm cố, ký quỹ, ký cược","Các khoản cầm cố, ký quỹ, ký cược",-,34.222.034.692,-,-,-,34.222.034.692,,34222034692.0,,,,34222034692.0
