row_label_raw,row_label_full,Tài sản,Số cuối năm,Số đầu năm,Mục đíchđảm bảo,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Mục đíchđảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,19.272.500.000.000,14.690.785.000.000,,19272500000000.0,14690785000000.0,
Tài sản tài chính FVTPL - tỉnh theo mệnh giá (Thuyết minh số 7.1),Tài sản tài chính FVTPL - tỉnh theo mệnh giá (Thuyết minh số 7.1),Tài sản tài chính FVTPL - tỉnh theo mệnh giá (Thuyết minh số 7.1),15.814.000.000.000,6.939.000.000.000,Các khoảnvay ngắn hạn,15814000000000.0,6939000000000.0,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,59.000.000.000,59.000.000.000,Các khoảnvay ngắn hạn,59000000000.0,59000000000.0,
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,4.775.000.000.000,780.000.000.000,Các khoảnvay ngắn hạn,4775000000000.0,780000000000.0,
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,10.980.000.000.000,6.100.000.000.000,Các khoảnvay ngắn hạn,10980000000000.0,6100000000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),1.450.000.000.000,6.560.000.000.000,Các khoảnvay ngắn hạn,1450000000000.0,6560000000000.0,
Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),1.900.000.000.000,750.000.000.000,Các khoảnvay ngắn hạn,1900000000000.0,750000000000.0,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),8.500.000.000,-,Hợp đồngcấp bảo lãnh,8500000000.0,,
Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),-,98.250.000.000,Chứng quyền,,98250000000.0,
Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm (Thuyết minh số 7.3),-,343.535.000.000,Chứng quyền,,343535000000.0,
Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),Chứng chỉ tiền gửi FVTPL (Thuyết minh số 7.1),100.000.000.000,-,Chứng quyền,100000000000.0,,
Dài hạn,Dài hạn,Dài hạn,2.365.801.200.000,3.265.801.200.000,,2365801200000.0,3265801200000.0,
Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mệnh giá (Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mệnh giá (Thuyết minh số 11),Trái phiếu có kỳ hạn còn lại trên 1 năm - tỉnh theo mệnh giá (Thuyết minh số 11),2.100.000.000.000,3.000.000.000.000,Các khoảnvay ngắn hạn,2100000000000.0,3000000000000.0,
Đầu tư vào công ty liên kết - tỉnh theo mệnh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tỉnh theo mệnh giá (Thuyết minh số 11),Đầu tư vào công ty liên kết - tỉnh theo mệnh giá (Thuyết minh số 11),265.801.200.000,265.801.200.000,Các khoảnvay ngắn hạn,265801200000.0,265801200000.0,
Tổng cộng,Tổng cộng,Tổng cộng,21.638.301.200.000,17.956.586.200.000,,21638301200000.0,17956586200000.0,
