row_label_raw,row_label_full,Năm 2021,Môi giới và dịch vụ khách hàng (1) > Năm 2021,Tự doanh > Năm 2021,Kinh doanh nguồn vốn > Năm 2021,Quản lý danh mục > Năm 2021,Ngân hàng đầu tư và các bộ phận khác > Năm 2021,Đơn vị tính: VND Tổng cộng > Năm 2021,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2021,numeric__Tự doanh > Năm 2021,numeric__Kinh doanh nguồn vốn > Năm 2021,numeric__Quản lý danh mục > Năm 2021,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2021,numeric__Đơn vị tính: VND Tổng cộng > Năm 2021
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,4.140.700.691.133,2.727.410.636.248,838.030.291.718,100.675.670.854,93.763.406.716,7.900.580.696.669,4140700691133.0,2727410636248.0,838030291718.0,100675670854.0,93763406716.0,7900580696669.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2.081.840.338.255,1.719.421.901.695,357.757.405.876,39.476.170.600,72.036.375.190,4.270.532.191.616,2081840338255.0,1719421901695.0,357757405876.0,39476170600.0,72036375190.0,4270532191616.0
3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,188.686.880.684,25.440.927.733,16.960.618.489,12.455.454.202,21.465.782.776,265.009.663.884,188686880684.0,25440927733.0,16960618489.0,12455454202.0,21465782776.0,265009663884.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.870.173.472.194,982.547.806.820,463.312.267.353,48.744.046.052,261.248.750,3.365.038.841.169,1870173472194.0,982547806820.0,463312267353.0,48744046052.0,261248750.0,3365038841169.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2021 > 1. Tài sản bộ phận,1. Tài sản bộ phận,23.704.430.505.996,14.725.253.129.856,11.510.588.129.804,55.790.297.887,15.848.562.840,50.011.910.626.383,23704430505996.0,14725253129856.0,11510588129804.0,55790297887.0,15848562840.0,50011910626383.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 2. Tài sản phân bổ,2. Tài sản phân bổ,250.992.876.862,33.841.736.206,22.561.157.471,16.568.350.018,28.553.964.924,352.518.085.481,250992876862.0,33841736206.0,22561157471.0,16568350018.0,28553964924.0,352518085481.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,428.627.850.218,,,,,,428627850218.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2021 > Tổng tài sản,Tổng tài sản,23.955.423.382.858,14.759.094.866.062,11.533.149.287.275,72.358.647.905,44.402.527.764,50.793.056.562.082,23955423382858.0,14759094866062.0,11533149287275.0,72358647905.0,44402527764.0,50793056562082.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2021 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,18.748.969.256.620,6.941.331.029.142,10.059.273.937.233,5.694.736.250,11.744.044.203,35.767.013.003.448,18748969256620.0,6941331029142.0,10059273937233.0,5694736250.0,11744044203.0,35767013003448.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 5. Nợ phân bổ,5. Nợ phân bổ,273.853.468.994,36.924.063.235,24.616.042.157,18.077.405.959,31.154.678.355,384.625.658.700,273853468994.0,36924063235.0,24616042157.0,18077405959.0,31154678355.0,384625658700.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2021 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,421.335.169.786,,,,,,421335169786.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2021 > Tổng công nợ,Tổng công nợ,19.022.822.725.614,6.978.255.092.377,10.083.889.979.390,23.772.142.209,42.898.722.558,36.572.973.831.934,19022822725614.0,6978255092377.0,10083889979390.0,23772142209.0,42898722558.0,36572973831934.0
