row_label_raw,row_label_full,col_0,Chỉ số năm 2022,Chỉ số năm 2021,numeric__Chỉ số năm 2022,numeric__Chỉ số năm 2021
Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,,
Tài sản ngắn hạn/Tổng tài sản,Cơ cấu tài sản > Tài sản ngắn hạn/Tổng tài sản,Tài sản ngắn hạn/Tổng tài sản,"93,31%","91,63%",0.9331,0.9163
Tài sản dài hạn/Tổng tài sản,Cơ cấu tài sản > Tài sản dài hạn/Tổng tài sản,Tài sản dài hạn/Tổng tài sản,"6,69%","8,37%",0.0669,0.0837
Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,,
Nợ phải trả/Tổng tài sản,Cơ cấu nguồn vốn > Nợ phải trả/Tổng tài sản,Nợ phải trả/Tổng tài sản,"57,14%","72,00%",0.5714,0.72
Nguồn vốn chủ sở hữu/Tổng tài sản,Cơ cấu nguồn vốn > Nguồn vốn chủ sở hữu/Tổng tài sản,Nguồn vốn chủ sở hữu/Tổng tài sản,"42,86%","28,00%",0.4286,0.28
Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,,
Lợi nhuận sau thuế/Tổng tài sản (ROA),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Tổng tài sản (ROA),Lợi nhuận sau thuế/Tổng tài sản (ROA),"3,25%","5,31%",0.0325,0.053099999999999994
Lợi nhuận sau thuế/Ngườn vốn chủ sở hữu (ROE),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Ngườn vốn chủ sở hữu (ROE),Lợi nhuận sau thuế/Ngườn vốn chủ sở hữu (ROE),"7,63%","19,04%",0.07629999999999999,0.19039999999999999
Lợi nhuận sau thuế/Vốn điều lệ,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Vốn điều lệ,Lợi nhuận sau thuế/Vốn điều lệ,"11,39%","27,37%",0.1139,0.2737
Lợi nhuận sau thuế/Doanh thu thuần,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/Doanh thu thuần,Lợi nhuận sau thuế/Doanh thu thuần,"26,05%","34,61%",0.2605,0.3461
Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,,
Chỉ số thanh toán hiện hành (Tài sản lưu động/Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán hiện hành (Tài sản lưu động/Nợ ngắn hạn),Chỉ số thanh toán hiện hành (Tài sản lưu động/Nợ ngắn hạn),"1,64","1,28",1.64,1.28
Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/Nợ ngắn hạn),"1,57","1,23",1.57,1.23
