row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,30.559.903.263.251,2.355.302.367,(69.202.517.526),30.493.056.048.092,12.016.161.724.820,55.450.720.122,(48.520.653.305),12.023.091.791.637,30559903263251.0,2355302367.0,-69202517526.0,30493056048092.0,12016161724820.0,55450720122.0,-48520653305.0,12023091791637.0
Cổ phiếu vàchứng khoànniêm yết,Cổ phiếu vàchứng khoànniêm yết,Cổ phiếu vàchứng khoànniêm yết,545.312.341.560,110.514.308,(40.860.867.828),504.561.988.040,1.072.947.011.740,44.805.763.899,(15.484.378.779),1.102.268.396.860,545312341560.0,110514308.0,-40860867828.0,504561988040.0,1072947011740.0,44805763899.0,-15484378779.0,1102268396860.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,32.345.419.551,40.634.964,(752.168.265),31.633.886.250,756.070.971.658,10.644.956.223,(13.225.591.381),753.490.336.500,32345419551.0,40634964.0,-752168265.0,31633886250.0,756070971658.0,10644956223.0,-13225591381.0,753490336500.0
Cổ phiếu vàChứng chỉ quÿchưa niêm yết,Cổ phiếu vàChứng chỉ quÿchưa niêm yết,Cổ phiếu vàChứng chỉ quÿchưa niêm yết,576.830.917.590,2.204.153.095,(19.810.683.145),559.224.387.540,104.339.454.012,-,(19.810.683.145),84.528.770.867,576830917590.0,2204153095.0,-19810683145.0,559224387540.0,104339454012.0,,-19810683145.0,84528770867.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,792.728.150.972,-,(7.778.798.288),784.949.352.684,100.074.600.000,-,-,100.074.600.000,792728150972.0,,-7778798288.0,784949352684.0,100074600000.0,,,100074600000.0
Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,Trải phiếu chưaniêm yết,12.175.839.946.558,-,-,12.175.839.946.558,3.209.941.475.120,-,-,3.209.941.475.120,12175839946558.0,,,12175839946558.0,3209941475120.0,,,3209941475120.0
Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,16.436.846.487.020,-,-,16.436.846.487.020,6.772.788.212.290,-,-,6.772.788.212.290,16436846487020.0,,,16436846487020.0,6772788212290.0,,,6772788212290.0
AFS,AFS,AFS,389.566.237.912,4.320.734.436,(12.178.716.744),381.708.255.604,276.320.839.159,-,(4.741.291.386),271.579.547.769,389566237912.0,4320734436.0,-12178716744.0,381708255604.0,276320839159.0,,-4741291386.0,271579547769.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,125.504.190.922,4.320.734.436,(7.437.425.358),122.387.500.000,-,-,-,-,125504190922.0,4320734436.0,-7437425358.0,122387500000.0,,,,
Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,Cổ phiếu chưaniêm yết,241.682.764.524,-,(4.741.291.386),236.941.473.138,276.320.839.159,-,(4.741.291.386),271.579.547.769,241682764524.0,,-4741291386.0,236941473138.0,276320839159.0,,-4741291386.0,271579547769.0
Trải phiếu chưaniên yết,Trải phiếu chưaniên yết,Trải phiếu chưaniên yết,22.379.282.466,-,-,22.379.282.466,-,-,-,-,22379282466.0,,,22379282466.0,,,,
Tổng cộng,Tổng cộng,Tổng cộng,30.949.469.501.163,6.676.036.803,(81.381.234.270),30.874.764.303.696,12.292.482.563.979,55.450.720.122,(53.261.944.691),12.294.671.339.406,30949469501163.0,6676036803.0,-81381234270.0,30874764303696.0,12292482563979.0,55450720122.0,-53261944691.0,12294671339406.0
