row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lỗ bán chứng khoán năm nay VND,Lỗ bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lỗ bán chứng khoán năm nay VND,numeric__Lỗ bán chứng khoán năm trước VND
II,II,II,LỔ BÁN,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rút ro cho chứng quyền),174.119.282,5.125.509.935.757,5.458.059.025.527,(332.549.089.770),(245.428.494.919),,174119282.0,5125509935757.0,5458059025527.0,-332549089770.0,-245428494919.0
2,II > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,534.286,39.134.920.956,39.135.074.627,(153.671),(672.721.358),,534286.0,39134920956.0,39135074627.0,-153671.0,-672721358.0
3,II > 3,3,Trái phiếu niêm yết,87.790.000,9.113.423.900.000,9.119.516.592.705,(6.092.692.705),(3.286.500.000),,87790000.0,9113423900000.0,9119516592705.0,-6092692705.0,-3286500000.0
4,II > 4,4,Trái phiếu và chứng khoán chưa niêm yết,5.246.319,11.366.696.709.048,11.410.675.480.237,(43.978.771.189),(83.070.584.304),,5246319.0,11366696709048.0,11410675480237.0,-43978771189.0,-83070584304.0
5,II > 5,5,Lỗ vị thể của hợp đồng CKPS,-,-,-,(121.267.354.000),(312.210.422.000),,,,,-121267354000.0,-312210422000.0
6,II > 6,6,Chứng quyền do Công ty phát hành,126.722.600,88.415.910.025,114.157.831.900,(25.741.921.875),(350.448.171.012),,126722600.0,88415910025.0,114157831900.0,-25741921875.0,-350448171012.0
,,,Tổng cộng,394.412.487,25.733.181.375.786,26.141.544.004.996,(529.629.983.210),(995.116.893.593),,394412487.0,25733181375786.0,26141544004996.0,-529629983210.0,-995116893593.0
