row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toán trong năm
1,1,1,Loại FVTPL,30.559.903.263.251,30.493.056.048.092,(66.847.215.159),6.930.066.817,(73.777.281.976),,30559903263251.0,30493056048092.0,-66847215159.0,6930066817.0,-73777281976.0
1,1,1,Cổ phiếu và chứng khoán niêm yếtFPT,545.312.341.560,504.561.988.040,(40.750.353.520),29.321.385.120,(70.071.738.640),,545312341560.0,504561988040.0,-40750353520.0,29321385120.0,-70071738640.0
1,1,1,Cổ phiếu và chứng khoán niêm yếtFPT,23.803.985.453,23.378.753.500,(425.231.953),(694.017.015),268.785.062,,23803985453.0,23378753500.0,-425231953.0,-694017015.0,268785062.0
1,1,1,SGN,407.513.400.377,371.611.614.000,(35.901.786.377),12.718.056.898,(48.619.843.275),,407513400377.0,371611614000.0,-35901786377.0,12718056898.0,-48619843275.0
1,1,1,VPB,24.445.330.307,24.503.363.700,58.033.393,(708.932.200),766.965.593,,24445330307.0,24503363700.0,58033393.0,-708932200.0,766965593.0
1,1,1,HPG,19.282.803.312,17.873.388.000,(1.409.415.312),412.191.599,(1.821.606.911),,19282803312.0,17873388000.0,-1409415312.0,412191599.0,-1821606911.0
1,1,1,FUESSVFL,20.218.936.555,20.094.448.500,(124.488.055),411.822.893,(536.310.948),,20218936555.0,20094448500.0,-124488055.0,411822893.0,-536310948.0
1,1,1,Cổ phiếu và chứng khoán niêm yết khác,50.047.885.556,47.100.420.340,(2.947.465.216),17.182.262.945,(20.129.728.161),,50047885556.0,47100420340.0,-2947465216.0,17182262945.0,-20129728161.0
2,2,2,Cổ phiếu niêm yết cho hoạt động phòng ngửa rủi ro của chứng quyền,32.345.419.551,31.633.886.250,(711.533.301),(2.580.635.158),1.869.101.857,,32345419551.0,31633886250.0,-711533301.0,-2580635158.0,1869101857.0
2,2,2,MBB,3.439.143.847,3.285.405.900,(153.737.947),749.648.207,(903.386.154),,3439143847.0,3285405900.0,-153737947.0,749648207.0,-903386154.0
2,2,2,VPB,7.280.492.358,7.297.776.300,17.283.942,(476.887.207),494.171.149,,7280492358.0,7297776300.0,17283942.0,-476887207.0,494171149.0
2,2,2,VRE,10.121.710.560,9.684.475.300,(437.235.260),(372.763.332),(64.471.928),,10121710560.0,9684475300.0,-437235260.0,-372763332.0,-64471928.0
2,2,2,STB,7.620.371.478,7.643.722.500,23.351.022,1.902.934.236,(1.879.583.214),,7620371478.0,7643722500.0,23351022.0,1902934236.0,-1879583214.0
2,2,2,Cổ phiếu khác,3.883.701.308,3.722.506.250,(161.195.058),(4.383.567.062),4.222.372.004,,3883701308.0,3722506250.0,-161195058.0,-4383567062.0,4222372004.0
