row_label_raw,row_label_full,Công ty liên quan > Quỹ Đầu tư công nghệ số Việt Nam > Công ty Cổ phần Công Thắng Alpha (Công ty liên kết đến Quỷ 4 năm 2022) > Công ty Cổ phần Đầu tư KAC (Công ty liên kết đến Quỷ 2 năm 2022),Giao dịch > Góp vốn theo phương pháp vốn chủ sở hữu > Phi quản lý quỹ > Góp vốn theo phương pháp vốn chủ sở hữu,Phải thu/(phải trả) > Số đầu năm > 10.042.652.181 > - > 16.523.835.763 > 16.787.119.666,Phải thu/(phải trả) > Tăng trong năm > 319.083.517 > 432.394.136 > 11.548.861.749 > 275.380.334,Phải thu/(phải trả) > Giảm trong năm > - > (171.727.562) > (28.072.697.512) > (17.062.500.000),Phải thu/(phải trả) > Số cuối năm > 10.361.735.698 > 260.666.574 > -,Đơn vị tính: VNDDoanh thu(chi phí) > 319.083.517 > 432.394.136 > 2.412.634.064 > 275.380.334,numeric__Giao dịch > Góp vốn theo phương pháp vốn chủ sở hữu > Phi quản lý quỹ > Góp vốn theo phương pháp vốn chủ sở hữu,numeric__Phải thu/(phải trả) > Số đầu năm > 10.042.652.181 > - > 16.523.835.763 > 16.787.119.666,numeric__Phải thu/(phải trả) > Tăng trong năm > 319.083.517 > 432.394.136 > 11.548.861.749 > 275.380.334,numeric__Phải thu/(phải trả) > Giảm trong năm > - > (171.727.562) > (28.072.697.512) > (17.062.500.000),numeric__Phải thu/(phải trả) > Số cuối năm > 10.361.735.698 > 260.666.574 > -,numeric__Đơn vị tính: VNDDoanh thu(chi phí) > 319.083.517 > 432.394.136 > 2.412.634.064 > 275.380.334
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận hợp đồng quản lý tiền gửi và khác,(289.881.621.991),(4.617.950.117.663),4.075.035.671.806,(832.796.067.848),-,,-289881621991.0,-4617950117663.0,4075035671806.0,-832796067848.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(351.216.160),(45.374.990.519),44.200.272.279,(1.525.934.400),(41.083.323.852),,-351216160.0,-45374990519.0,44200272279.0,-1525934400.0,-41083323852.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,993.485.034,(993.485.034),-,993.485.034,,,993485034.0,-993485034.0,,993485034.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa,-,(85.252.675),85.252.675,-,(85.252.675),,,-85252675.0,85252675.0,,-85252675.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Cổ tức được nhận,-,1.473.672.500,(1.473.672.500),-,1.473.672.500,,,1473672500.0,-1473672500.0,,1473672500.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Góp vốn theo phương pháp vốn chủ sở hữu,524.663.685.462,47.107.423.876,-,571.771.109.338,36.464.287.393,,524663685462.0,47107423876.0,,571771109338.0,36464287393.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả khác,-,(143.307.538),143.307.538,-,-,,,-143307538.0,143307538.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,7.020.936.494.000,(7.020.936.494.000),-,8.260.662.792,,,7020936494000.0,-7020936494000.0,,8260662792.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(8.143.832.872.000),8.143.832.872.000,-,-,,,-8143832872000.0,8143832872000.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,5.231.111.200,1.393.128.000,(5.396.111.200),1.228.128.000,1.266.480.000,,5231111200.0,1393128000.0,-5396111200.0,1228128000.0,1266480000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Ứng trước hợp đồng tư vấn,(100.000.000),(100.000.000),-,(200.000.000),-,,-100000000.0,-100000000.0,,-200000000.0,
