row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Số đầu năm,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giảm trong năm,Phải thu/(phải trả) > Số cuối năm,Đơn vị tính: VNDDoanh thu/(chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Số đầu năm,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giảm trong năm,numeric__Phải thu/(phải trả) > Số cuối năm,numeric__Đơn vị tính: VNDDoanh thu/(chi phí)
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,1.787.569.988(1.181.620.553),(1.787.569.988)5.539.685.472,-,1.625.063.625(4.990.728.536),,,,,,
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phí hoa hồng phải trảDoanh thu hợp đồng tư vấn,1.350.723.417,2.035.497.170,(2.472.553.724),913.666.863,2.035.497.170,,1350723417.0,2035497170.0,-2472553724.0,913666863.0,2035497170.0
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Doanh thu tư vấn đầu tư quỹ,2.769.820.842,6.590.307.918,(8.045.776.183),1.314.352.577,6.293.891.835,,2769820842.0,6590307918.0,-8045776183.0,1314352577.0,6293891835.0
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Cổ tức SSI,-,(154.491.930.000),154.491.930.000,-,-,,,-154491930000.0,154491930000.0,,
Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con > Daiwa Securities Group Inc và các công ty con,Daiwa Securities Group Inc và các công ty con,Phải thu khác,493.790.548,12.274.022,(506.064.570),-,-,,493790548.0,12274022.0,-506064570.0,,
Công ty TNHH MTV Nguyễn Sài Gòn,Daiwa Securities Group Inc và các công ty con > Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,296.549.396(2.500.001.000),(296.549.396)2.500.001.000,-,296.549.396,,,,,,296549396.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Cổ tức SSI,-,296.549.396(2.500.001.000),(296.549.396)2.500.001.000,-,-,,,,,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,50.878.484,(50.878.484),-,50.878.484,,,50878484.0,-50878484.0,,50878484.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Nhận hợp đồng quản lý tiền gửi và khác,-,(173.059.328.893),173.059.328.893,-,-,,,-173059328893.0,173059328893.0,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Lãi hợp đồng quản lý tiền gửi phải trả và khác,-,(23.694.950),23.694.950,-,(23.694.950),,,-23694950.0,23694950.0,,-23694950.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Cổ tức SSI,-,(54.901.068.000),54.901.068.000,-,-,,,-54901068000.0,54901068000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,111.733.880,(111.733.880),-,111.733.880,,,111733880.0,-111733880.0,,111733880.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Phí quản lý danh mục,16.653.336,199.840.080,(199.840.080),16.653.336,199.840.080,,16653336.0,199840080.0,-199840080.0,16653336.0,199840080.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Doanh thu tư vấn, dịch vụ",2.138.155.000,4.062.000.000,(5.525.155.000),675.000.000,3.692.727.273,,2138155000.0,4062000000.0,-5525155000.0,675000000.0,3692727273.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,9.842.740.732.680,(9.842.740.732.680),-,16.262.260.544,,,9842740732680.0,-9842740732680.0,,16262260544.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(16.206.380.897.386),16.206.380.897.386,-,-,,,-16206380897386.0,16206380897386.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Ứng trước phí dịch vụ,(216.841.988),(751.880.000),765.021.988,(203.700.000),(751.880.000),,-216841988.0,-751880000.0,765021988.0,-203700000.0,-751880000.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH MTV Nguyễn Sài Gòn > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Cổ tức SSI,-,(94.237.688.000),94.237.688.000,-,-,,,-94237688000.0,94237688000.0,,
