row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
I,I,I,Thuế,352.029.891.951,1.348.379.378.938,1.585.950.755.160,114.458.515.729,,352029891951.0,1348379378938.0,1585950755160.0,114458515729.0
1,1,1,Thuế giá trị gia tăng,1.837.070.183,6.690.009.566,7.806.955.927,720.123.822,,1837070183.0,6690009566.0,7806955927.0,720123822.0
,,,Trong đó:- Thuế GTGT phải nộp,1.837.070.183,,,720.763.429,,1837070183.0,,,720763429.0
,,,- Thuế GTGT thu lại từ nhà nước,-,,,(639.607),,,,,-639607.0
2,2,2,Thuế thu nhập doanh nghiệp (TNDN)(Thuyết minh số 40.1),221.600.866.845,458.993.340.794,647.985.350.710,32.608.856.929,,221600866845.0,458993340794.0,647985350710.0,32608856929.0
,,,Trong đó:- Thuế TNDN phải nộp,222.198.744.178,,,33.112.581.088,,222198744178.0,,,33112581088.0
,,,- Thuế TNDN thu lại từ nhà nước,(597.877.333),,,(503.724.159),,-597877333.0,,,-503724159.0
3,3,3,Các loại thuế khác,128.591.954.923,882.696.028.578,930.158.448.523,81.129.534.978,,128591954923.0,882696028578.0,930158448523.0,81129534978.0
,,,Thuế thu nhập cá nhân,28.518.906.889,179.940.254.378,191.245.057.649,17.214.103.618,,28518906889.0,179940254378.0,191245057649.0,17214103618.0
,,,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,91.130.438.133,624.394.333.615,658.361.651.528,57.163.120.220,,91130438133.0,624394333615.0,658361651528.0,57163120220.0
,,,Thuế môn bài,-,18.000.000,18.000.000,-,,,18000000.0,18000000.0,
,,,Thuế khác (thuế nhà thầu),8.942.609.901,78.343.440.585,80.533.739.346,6.752.311.140,,8942609901.0,78343440585.0,80533739346.0,6752311140.0
II,II,II,Các khoản phải nộp khác,-,67.739.458,67.739.458,-,,,67739458.0,67739458.0,
,,,Tổng cộng,352.029.891.951,1.348.447.118.396,1.586.018.494.618,114.458.515.729,,352029891951.0,1348447118396.0,1586018494618.0,114458515729.0
