row_label_raw,row_label_full,Tên,Môi quan hệ,numeric__Môi quan hệ
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Công ty con,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty con,
Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty con,
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty con,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty con,
Công ty Cổ phần Nhựa Hoa Sen,Công ty Cổ phần Nhựa Hoa Sen,Công ty Cổ phần Nhựa Hoa Sen,Công ty con,
Công ty TNHH Một thành viên Hoa Sen Bình Định,Công ty TNHH Một thành viên Hoa Sen Bình Định,Công ty TNHH Một thành viên Hoa Sen Bình Định,Công ty con,
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty con,
Công ty Cổ phần Căng Quốc tế Hoa Sen,Công ty Cổ phần Căng Quốc tế Hoa Sen,Công ty Cổ phần Căng Quốc tế Hoa Sen,Công ty liên kết,
Công ty Cổ phần Hoa Sen Sài Gòn,Công ty Cổ phần Hoa Sen Sài Gòn,Công ty Cổ phần Hoa Sen Sài Gòn,Công ty liên kết,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty thuộc sở hữu của Chủ tịch Công ty,
Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,Công ty thuộc sở hữu của Chủ tịch Công ty,
Công ty TNHH Tổ chức biểu diễn Nghệ thuật và Hòa nhạc Quốc tế Hoa Sen,Công ty TNHH Tổ chức biểu diễn Nghệ thuật và Hòa nhạc Quốc tế Hoa Sen,Công ty TNHH Tổ chức biểu diễn Nghệ thuật và Hòa nhạc Quốc tế Hoa Sen,Công ty thuộc sở hữu của Chủ tịch Công ty,
Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Thành viênBan Tổng Giám đốc,
Bà Lê Thị Lệ Hoa,Bà Lê Thị Lệ Hoa,Bà Lê Thị Lệ Hoa,Bên liên quan của Chủ tịch Công ty,
