row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,30.9.2024VND,30.9.2023VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,Mãsố > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,502.552.319.181,309.091.812.923,,,502552319181.0,309091812923.0
02,Mãsố > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",,213.396.307.446,296.698.963.838,,,213396307446.0,296698963838.0
03,Mãsố > 03,03,Các khoản hoàn nhập dự phòng,,(5.435.448.472),(54.798.528.440),,,-5435448472.0,-54798528440.0
04,Mãsố > 04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,,4.859.887.308,(2.114.003.286),,,4859887308.0,-2114003286.0
05,Mãsố > 05,05,Lãi từ hoạt động đầu tư,,(325.217.103.728),(582.268.394.623),,,-325217103728.0,-582268394623.0
06,Mãsố > 06,06,Chi phí lãi vay,,131.805.003.372,184.694.883.045,,,131805003372.0,184694883045.0
08,Mãsố > 08,08,Lợi nhuận từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,,521.960.965.107,151.304.733.457,,,521960965107.0,151304733457.0
09,Mãsố > 09,09,(Tăng)/giảm các khoản phải thu,,(1.800.373.698.676),455.788.862.582,,,-1800373698676.0,455788862582.0
10,Mãsố > 10,10,Tăng hàng tồn kho,,(188.494.190.075),(508.889.546.680),,,-188494190075.0,-508889546680.0
11,Mãsố > 11,11,Tăng các khoản phải trả,,274.588.619.440,1.544.513.703.402,,,274588619440.0,1544513703402.0
12,Mãsố > 12,12,Giảm chi phí trả trước,,55.298.002.073,23.096.871.939,,,55298002073.0,23096871939.0
14,Mãsố > 14,14,Tiền lãi vay đã trả,,(131.111.426.969),(186.167.929.380),,,-131111426969.0,-186167929380.0
15,Mãsố > 15,15,Thuế TNDN đã nộp,,-,(1.461.479.656),,,,-1461479656.0
17,Mãsố > 17,17,Tiền chi khác từ hoạt động kinh doanh,,(182.993.643.610),(191.696.191.456),,,-182993643610.0,-191696191456.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(1.451.125.372.710),1.286.489.024.208,,,-1451125372710.0,1286489024208.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ',LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ',LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ',LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ',,,,
21,Mãsố > 21,21,Tiền chi để mua sắm TSCĐ và các tài sản dài hạn khác,,(560.646.561.404),(178.762.599.745),,,-560646561404.0,-178762599745.0
22,Mãsố > 22,22,Tiền thu từ thanh lý TSCĐ,,36.807.283.700,33.972.301.805,,,36807283700.0,33972301805.0
23,Mãsố > 23,23,Tiền chi cho vay và tiền gửi ngân hàngcó kỳ hạn trên 3 tháng,,(288.417.778.768),(136.060.958.904),,,-288417778768.0,-136060958904.0
24,Mãsố > 24,24,Tiền thu hồi cho vay và tiền gửi ngân hàngcó kỳ hạn trên 3 tháng,,28.000.000.000,15.000.000.000,,,28000000000.0,15000000000.0
25,Mãsố > 25,25,Tiền chi đầu tư góp vốn vào công ty con,,(1.500.000.000),(130.845.602.739),,,-1500000000.0,-130845602739.0
27,Mãsố > 27,27,"Tiền thu lãi tiền gửi, tiền cho vay và lợi nhuận được chia",,40.168.882.612,9.167.953.933,,,40168882612.0,9167953933.0
30,Mãsố > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(745.588.173.860),(387.528.905.650),,,-745588173860.0,-387528905650.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,Mãsố > 31,31,Tiền thu từ phát hành cổ phiếu,,22.110.000.000,-,,,22110000000.0,
33,Mãsố > 33,33,Tiền thu từ đi vay,,31.261.321.526.957,21.420.117.233.606,,,31261321526957.0,21420117233606.0
34,Mãsố > 34,34,Tiền chi trả nợ gốc vay,,(28.854.393.170.251),(22.061.887.581.884),,,-28854393170251.0,-22061887581884.0
36,Mãsố > 36,36,Tiền chi trả cổ tức,,(307.574.177.800),(5.531.000),,,-307574177800.0,-5531000.0
40,Mãsố > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,2.121.464.178.906,(641.775.879.278),,,2121464178906.0,-641775879278.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,(75.249.367.664),257.184.239.280,,,-75249367664.0,257184239280.0
60,Mãsố > 60,60,Tiền và tương đương tiền đầu năm,3,501.386.999.566,242.815.476.591,,3.0,501386999566.0,242815476591.0
61,Mãsố > 61,61,Ánh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1.641.186.039,1.387.283.695,,,1641186039.0,1387283695.0
70,Mãsố > 70,70,Tiền và tương đương tiền cuối năm,3,427.778.817.941,501.386.999.566,,3.0,427778817941.0,501386999566.0
