row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 10 năm 2023,Nguyên giá > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,200.348.707.708,54.210.506.802,254.559.214.510,200348707708.0,54210506802.0,254559214510.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),-,15.947.100.200,15.947.100.200,,15947100200.0,15947100200.0
Tại ngày 30 tháng 9 năm 2024,Nguyên giá > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,200.348.707.708,70.157.607.002,270.506.314.710,200348707708.0,70157607002.0,270506314710.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,36.528.851.604,50.460.596.331,86.989.447.935,36528851604.0,50460596331.0,86989447935.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.552.716.965,3.270.927.949,5.823.644.914,2552716965.0,3270927949.0,5823644914.0
Tại ngày 30 tháng 9 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,39.081.568.569,53.731.524.280,92.813.092.849,39081568569.0,53731524280.0,92813092849.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 10 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2023,Tại ngày 1 tháng 10 năm 2023,163.819.856.104,3.749.910.471,167.569.766.575,163819856104.0,3749910471.0,167569766575.0
Tại ngày 30 tháng 9 năm 2024,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,161.267.139.139,16.426.082.722,177.693.221.861,161267139139.0,16426082722.0,177693221861.0
