row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,502.552.319.181,309.091.812.923,502552319181.0,309091812923.0
Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,Thuế tính ở thuế suất 20%Điều chỉnh:,100.510.463.836,61.818.362.585,100510463836.0,61818362585.0
Thu nhập không chịu thuế,Thu nhập không chịu thuế,Thu nhập không chịu thuế,(59.688.358.454),(113.843.862.789),-59688358454.0,-113843862789.0
Chi phí không được khấu trừ,Chi phí không được khấu trừ,Chi phí không được khấu trừ,23.555.799.945,13.200.629.518,23555799945.0,13200629518.0
Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,(87.204.141.457),-,-87204141457.0,
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,-,98.090.721.311,,98090721311.0
Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,(3.643.445.051),-,-3643445051.0,
Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,99.693.200,1.536.979.754,99693200.0,1536979754.0
(Thu nhập)/chi phí thuế TNDN (*),(Thu nhập)/chi phí thuế TNDN (*),(Thu nhập)/chi phí thuế TNDN (*),(26.369.987.981),60.802.830.379,-26369987981.0,60802830379.0
Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng:,,
Thuế TNDN - hiện hành,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,99.693.200,1.536.979.754,99693200.0,1536979754.0
Thuế TNDN - hoãn lại (Thuyết minh 20),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng: > Thuế TNDN - hoãn lại (Thuyết minh 20),Thuế TNDN - hoãn lại (Thuyết minh 20),(26.469.681.181),59.265.850.625,-26469681181.0,59265850625.0
(Thu nhập)/chi phí thuế TNDN,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáokết quả hoạt động kinh doanh riêng: > (Thu nhập)/chi phí thuế TNDN,(Thu nhập)/chi phí thuế TNDN,(26.369.987.981),60.802.830.379,-26369987981.0,60802830379.0
