row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,30.9.2024VND,30.9.2023VND,,,
(iv),(iv),(iv),"Mua TSCĐ, xây dựng cơ bản dở dang","Mua TSCĐ, xây dựng cơ bản dở dang","Mua TSCĐ, xây dựng cơ bản dở dang",,,
,,,Công ty con,Công ty con,Công ty con,,,
,,,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,1.577.729.904,805.000.002,,1577729904.0,805000002.0
,,,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,1.964.064.650,-,,1964064650.0,
,,,Công ty TNHH Một thành viên Hoa Sen Bình Định,1.472.231.365,-,,1472231365.0,
,,,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ Án,306.628.000,-,,306628000.0,
,,,Công ty TNHH Một thành viên Tôn Hoa Sen,-,254.000.000,,,254000000.0
,,,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,,
,,,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,-,18.000.000,,,18000000.0
,,,,5.320.653.919,1.077.000.002,,5320653919.0,1077000002.0
(v),(v),(v),Hoạt động đầu tư,Hoạt động đầu tư,Hoạt động đầu tư,,,
,,,Cho vay ngắn hạn (Thuyết minh 7),Cho vay ngắn hạn (Thuyết minh 7),Cho vay ngắn hạn (Thuyết minh 7),,,
,,,Công ty con,Công ty con,Công ty con,,,
,,,Công ty Cổ phần Nhựa Hoa Sen,283.500.000.000,118.500.000.000,,283500000000.0,118500000000.0
,,,Cho vay dài hạn,Cho vay dài hạn,Cho vay dài hạn,,,
,,,Công ty con,Công ty con,Công ty con,,,
,,,Công ty Cổ phần Hoa Sen Yên Bái,4.200.000.000,2.000.000.000,,4200000000.0,2000000000.0
,,,Thu hồi cho vay ngắn hạn (Thuyết minh 7),Thu hồi cho vay ngắn hạn (Thuyết minh 7),Thu hồi cho vay ngắn hạn (Thuyết minh 7),,,
,,,Công ty con,Công ty con,Công ty con,,,
,,,Công ty Cổ phần Nhựa Hoa Sen,28.000.000.000,-,,28000000000.0,
,,,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,
,,,Công ty con,Công ty con,Công ty con,,,
,,,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,-,130.000.000.000,,,130000000000.0
,,,- Bằng tiền,-,130.000.000.000,,,130000000000.0
,,,Công ty Cổ phần Hoa Sen Yên Bái,5.745.087.671,81.000.000.000,,5745087671.0,81000000000.0
,,,- Chuyển đối từ khoản phải thu về cho vay dài hạn,4.200.000.000,72.700.000.000,,4200000000.0,72700000000.0
,,,- Chuyển đối từ lãi cho vay phải thu,45.087.671,7.454.397.261,,45087671.0,7454397261.0
,,,- Bằng tiền,1.500.000.000,845.602.739,,1500000000.0,845602739.0
,,,,5.745.087.671,211.000.000.000,,5745087671.0,211000000000.0
