row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 10 năm 2022,Tại ngày 1 tháng 10 năm 2022,Tại ngày 1 tháng 10 năm 2022,5.980.549.860.000,157.292.539.068,187.499.009.876,4.841.786.518.282,11.167.127.927.226,5980549860000.0,157292539068.0,187499009876.0,4841786518282.0,11167127927226.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,248.288.982.544,248.288.982.544,,,,248288982544.0,248288982544.0
Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,Chi cổ tức bằng cổ phiếu,179.273.230.000,-,-,(179.273.230.000),-,179273230000.0,,,-179273230000.0,
"Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (Thuyết minh 19)",-,-,-,(10.053.653.206),(10.053.653.206),,,,-10053653206.0,-10053653206.0
Trích lập quỹ khác,Trích lập quỹ khác,Trích lập quỹ khác,-,-,13.823.773.157,(13.823.773.157),-,,,13823773157.0,-13823773157.0,
Sử dụng quỹ khác,Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,(123.412.286.089),-,(123.412.286.089),,,-123412286089.0,,-123412286089.0
Tại ngày 30 tháng 9 năm 2023,Tại ngày 30 tháng 9 năm 2023,Tại ngày 30 tháng 9 năm 2023,6.159.823.090.000,157.292.539.068,77.910.496.944,4.886.924.844.463,11.281.950.970.475,6159823090000.0,157292539068.0,77910496944.0,4886924844463.0,11281950970475.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,528.922.307.162,528.922.307.162,,,,528922307162.0,528922307162.0
Chi cổ tức bằng tiền (*),Chi cổ tức bằng tiền (*),Chi cổ tức bằng tiền (*),-,-,-,(307.991.154.500),(307.991.154.500),,,,-307991154500.0,-307991154500.0
"Trích lập quỹ khen thưởng,phúc lợi (*) (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (*) (Thuyết minh 19)","Trích lập quỹ khen thưởng,phúc lợi (*) (Thuyết minh 19)",-,-,-,(18.103.097.086),(18.103.097.086),,,,-18103097086.0,-18103097086.0
Trích lập quỹ khác (*),Trích lập quỹ khác (*),Trích lập quỹ khác (*),-,-,24.891.758.493,(24.891.758.493),-,,,24891758493.0,-24891758493.0,
Sử dụng quỹ khác,Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,(51.809.041.668),-,(51.809.041.668),,,-51809041668.0,,-51809041668.0
Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,Tại ngày 30 tháng 9 năm 2024,6.159.823.090.000,157.292.539.068,50.993.213.769,5.064.861.141.546,11.432.969.984.383,6159823090000.0,157292539068.0,50993213769.0,5064861141546.0,11432969984383.0
