row_label_raw,row_label_full,col_0,Tại ngày 1.10.2023 > Giá trị VND,Tại ngày 1.10.2023 > Số có khả năng trả nợ VND,Phát sinh trong năm > Tăng VND,Phát sinh trong năm > Giảm VND,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,numeric__Tại ngày 1.10.2023 > Giá trị VND,numeric__Tại ngày 1.10.2023 > Số có khả năng trả nợ VND,numeric__Phát sinh trong năm > Tăng VND,numeric__Phát sinh trong năm > Giảm VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Số có khả năng trả nợ VND
Ngân hàng,Ngân hàng,Ngân hàng,2.903.786.802.438,2.903.786.802.438,31.261.321.526.957,(28.854.393.170.251),5.310.715.159.144,5.310.715.159.144,2903786802438.0,2903786802438.0,31261321526957.0,-28854393170251.0,5310715159144.0,5310715159144.0
Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,,Lãi suất %/năm,Kỳ hạn,Tại ngày 30.9.2024 VND,Tại ngày 30.9.2023 VND,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),Ngân hàng > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),,,"2,3% - 3,3%",Tối đa không quá 6 tháng kể từ ngày tiếp theo của ngày giải ngân vốn vay và được ghi trên từng Giấy nhận nợ.,2.647.446.645.284,1.100.416.059.001,,,,,2647446645284.0,1100416059001.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương (ii),Ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương (ii),Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương (ii),,,"3% - 3,3%",Tối đa không quá 5 tháng kể từ ngày giải ngân.,2.271.483.187.659,1.625.599.905.996,,,,,2271483187659.0,1625599905996.0
Ngân Hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân hàng > Ngân Hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân Hàng Thương mại Cổ phần Đầu Tư và Phát Triển Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),,,"3,6%",Theo từng hợp đồng tín dụng.,323.755.954.476,-,,,0.036000000000000004,,323755954476.0,
Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),Ngân hàng > Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),,,"3,1%",Không quá 120 ngày kể từ ngày giải ngân.,53.000.000.000,-,,,0.031,,53000000000.0,
Ngân hàng Đại chúng TNHH Kasikornbank - Chi nhánh Thành phố Hồ Chí Minh (v),Ngân hàng > Ngân hàng Đại chúng TNHH Kasikornbank - Chi nhánh Thành phố Hồ Chí Minh (v),Ngân hàng Đại chúng TNHH Kasikornbank - Chi nhánh Thành phố Hồ Chí Minh (v),,,"3,3%",Không quá 120 ngày kể từ ngày giải ngân.,15.029.371.725,177.770.837.441,,,0.033,,15029371725.0,177770837441.0
Ngân hàng TNHH Một thành viên HSBC (Việt Nam) (vi),Ngân hàng TNHH Một thành viên HSBC (Việt Nam) (vi),Ngân hàng TNHH Một thành viên HSBC (Việt Nam) (vi),,,(*),Không quá 120 ngày kể từ ngày giải ngân.,-,-,,,,,,
Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (vii),Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (vii),Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín (vii),,,(**),Theo từng hợp đồng tín dụng và không quá 12 tháng kể từ ngày giải ngân.,-,-,,,,,,
