row_label_raw,row_label_full,col_0,Tại ngày 30.9.2024 > Giá gốc VND,Tại ngày 30.9.2024 > Giá trị hợp lý VND,Tại ngày 30.9.2024 > Dự phòng VND,Tại ngày 30.9.2023 > Giá gốc VND,Tại ngày 30.9.2023 > Giá trị hợp lý VND,Tại ngày 30.9.2023 > Dự phòng VND,numeric__Tại ngày 30.9.2024 > Giá gốc VND,numeric__Tại ngày 30.9.2024 > Giá trị hợp lý VND,numeric__Tại ngày 30.9.2024 > Dự phòng VND,numeric__Tại ngày 30.9.2023 > Giá gốc VND,numeric__Tại ngày 30.9.2023 > Giá trị hợp lý VND,numeric__Tại ngày 30.9.2023 > Dự phòng VND
i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,i. Đầu tư vào công ty con,,,,,,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An (i),i. Đầu tư vào công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An (i),Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An (i),1.100.000.000.000,(*),-,1.100.000.000.000,(*),-,1100000000000.0,,,1100000000000.0,,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định (ii),i. Đầu tư vào công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định (ii),Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định (ii),770.000.000.000,(*),-,770.000.000.000,(*),-,770000000000.0,,,770000000000.0,,
Công ty TNHH Một thành viên Tôn Hoa Sen (i),i. Đầu tư vào công ty con > Công ty TNHH Một thành viên Tôn Hoa Sen (i),Công ty TNHH Một thành viên Tôn Hoa Sen (i),280.000.000.000,(*),-,280.000.000.000,(*),-,280000000000.0,,,280000000000.0,,
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (ii),i. Đầu tư vào công ty con > Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (ii),Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (ii),380.000.000.000,(*),-,380.000.000.000,(*),-,380000000000.0,,,380000000000.0,,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam (ii),i. Đầu tư vào công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam (ii),Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam (ii),200.000.000.000,(*),-,200.000.000.000,(*),-,200000000000.0,,,200000000000.0,,
Công ty Cổ phần Nhựa Hoa Sen (i),i. Đầu tư vào công ty con > Công ty Cổ phần Nhựa Hoa Sen (i),Công ty Cổ phần Nhựa Hoa Sen (i),299.850.000.000,(*),-,299.850.000.000,(*),-,299850000000.0,,,299850000000.0,,
Công ty TNHH Một thành viên Hoa Sen Bình Định (ii),i. Đầu tư vào công ty con > Công ty TNHH Một thành viên Hoa Sen Bình Định (ii),Công ty TNHH Một thành viên Hoa Sen Bình Định (ii),105.000.000.000,(*),-,105.000.000.000,(*),-,105000000000.0,,,105000000000.0,,
Công ty Cổ phần Hoa Sen Yên Bái (ii),i. Đầu tư vào công ty con > Công ty Cổ phần Hoa Sen Yên Bái (ii),Công ty Cổ phần Hoa Sen Yên Bái (ii),409.745.087.671,(*),-,404.000.000.000,(*),-,409745087671.0,,,404000000000.0,,
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa sen Yên Bái (ii),i. Đầu tư vào công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa sen Yên Bái (ii),Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa sen Yên Bái (ii),50.000.000.000,(*),-,50.000.000.000,(*),-,50000000000.0,,,50000000000.0,,
ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,ii. Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Cắng Quốc tế Hoa Sen (iii),Công ty Cổ phần Cắng Quốc tế Hoa Sen (iii),Công ty Cổ phần Cắng Quốc tế Hoa Sen (iii),-,(*),-,-,(*),-,,,,,,
Công ty Cổ phần Hoa Sen Sài Gòn (iv),Công ty Cổ phần Hoa Sen Sài Gòn (iv),Công ty Cổ phần Hoa Sen Sài Gòn (iv),-,(*),-,-,(*),-,,,,,,
,,,3.594.595.087.671,,-,3.588.850.000.000,,-,3594595087671.0,,,3588850000000.0,,
