row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi do thanh lý TSCĐ,Thu nhập khác > Lãi do thanh lý TSCĐ,Lãi do thanh lý TSCĐ,18.837.391.545,8.478.413.645,18837391545.0,8478413645.0
Tiền bồi thường thu được,Thu nhập khác > Tiền bồi thường thu được,Tiền bồi thường thu được,2.297.375.456,13.539.910.303,2297375456.0,13539910303.0
"Lãi do thanh lý công cụ, dụng cụ","Thu nhập khác > Lãi do thanh lý công cụ, dụng cụ","Lãi do thanh lý công cụ, dụng cụ",2.040.903.939,6.054.573.162,2040903939.0,6054573162.0
Khác,Thu nhập khác > Khác,Khác,11.508.590.958,17.265.423.377,11508590958.0,17265423377.0
,,,34.684.261.898,45.338.320.487,34684261898.0,45338320487.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Khác,Chi phí khác > Khác,Khác,(5.192.249.642),(631.991.708),-5192249642.0,-631991708.0
Lợi nhuận khác,Chi phí khác > Lợi nhuận khác,Lợi nhuận khác,29.492.012.256,44.706.328.779,29492012256.0,44706328779.0
