row_label_raw,row_label_full,col_0,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Dự phòng VND,Tại ngày 30.9.2023 > Giá trị VND,Tại ngày 30.9.2023 > Dự phòng VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Dự phòng VND,numeric__Tại ngày 30.9.2023 > Giá trị VND,numeric__Tại ngày 30.9.2023 > Dự phòng VND
Phải thu về lợi nhuận được chia,Phải thu về lợi nhuận được chia,Phải thu về lợi nhuận được chia,298.441.792.270,-,569.044.918.051,-,298441792270.0,,569044918051.0,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,29.224.478.037,-,25.152.379.411,-,29224478037.0,,25152379411.0,
"Đặt cọc thuê mặt bằng và ký quỹ, ký cược ngắn hạn","Đặt cọc thuê mặt bằng và ký quỹ, ký cược ngắn hạn","Đặt cọc thuê mặt bằng và ký quỹ, ký cược ngắn hạn",25.728.386.709,-,32.922.961.831,-,25728386709.0,,32922961831.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,2.131.109.589,-,-,-,2131109589.0,,,
Tải sản thiếu chờ xử lý,Tải sản thiếu chờ xử lý,Tải sản thiếu chờ xử lý,34.005.840,-,10.345.169.668,(10.345.169.668),34005840.0,,10345169668.0,-10345169668.0
Khoản ký quỹ LC chở thanh toán,Khoản ký quỹ LC chở thanh toán,Khoản ký quỹ LC chở thanh toán,-,-,144.324.780.746,-,,,144324780746.0,
Tạm ứng để mua đất,Tạm ứng để mua đất,Tạm ứng để mua đất,-,-,58.438.165.400,-,,,58438165400.0,
Khác,Khác,Khác,11.274.045.590,-,14.546.300.103,-,11274045590.0,,14546300103.0,
,,,366.833.818.035,-,854.774.675.210,(10.345.169.668),366833818035.0,,854774675210.0,-10345169668.0
"Trong đó, Bên thứ ba","Trong đó, Bên thứ ba","Trong đó, Bên thứ ba",63.433.551.781,-,239.257.532.159,(10.345.169.668),63433551781.0,,239257532159.0,-10345169668.0
Bên liên quan (Thuyết minh 35(b)),Bên liên quan (Thuyết minh 35(b)),Bên liên quan (Thuyết minh 35(b)),303.400.266.254,-,615.517.143.051,-,303400266254.0,,615517143051.0,
,,,366.833.818.035,-,854.774.675.210,(10.345.169.668),366833818035.0,,854774675210.0,-10345169668.0
