row_label_raw,row_label_full,col_0,col_1,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,Tại ngày 30.9.2023 > Giá trị VND,Tại ngày 30.9.2023 > Số có khả năng trả nợ VND,numeric__col_1,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,numeric__Tại ngày 30.9.2023 > Giá trị VND,numeric__Tại ngày 30.9.2023 > Số có khả năng trả nợ VND
13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,13 PHẢI TRẢ NGƯỜI BÁN NGÂN HẠN,,,,,
,,,,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,,
,,,,Công ty TNHH Thép Kim Quốc,603.635.726.823,603.635.726.823,148.774.386.772,,,603635726823.0,603635726823.0,148774386772.0
,,,,Công ty Cổ Phần Thép Hòa Phát Dung Quất,382.563.821.530,382.563.821.530,29.420.508.150,,,382563821530.0,382563821530.0,29420508150.0
,,,,Win Faith Trading Limited,-,-,1.060.712.721.850,,,,,1060712721850.0
,,,,Công ty TNHH Gang Thép Hưng Nghiệp Formosa Hà Tĩnh,-,-,215.321.324.077,,,,,215321324077.0
,,,,Khác,951.854.153.757,951.854.153.757,1.150.938.868.431,,,951854153757.0,951854153757.0,1150938868431.0
,,,,Bên liên quan (Thuyết minh 35(b)),915.552.512.371,915.552.512.371,725.315.423.334,,,915552512371.0,915552512371.0,725315423334.0
,,,,,2.853.606.214.481,2.853.606.214.481,3.330.483.232.614,,,2853606214481.0,2853606214481.0,3330483232614.0
14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,14 NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,,,,,
,,,,Bên thứ ba,Bên thứ ba,30.9.2024 VND,30.9.2023 VND,,,,,
,,,,Bên liên quan (Thuyết minh 35(b)),Bên liên quan (Thuyết minh 35(b)),171.998.243.571,121.002.749.172,,,,171998243571.0,121002749172.0
,,,,,,8.001.644.404,8.954.586.594,,,,8001644404.0,8954586594.0
,,,,,,179.999.887.975,129.957.335.766,,,,179999887975.0,129957335766.0
