row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 30.9.2024 VND,Năm tài chính kết thúc ngày > 30.9.2023 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 30.9.2024 VND,numeric__Năm tài chính kết thúc ngày > 30.9.2023 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,67.051.370.845.971,52.881.019.564.133,,,67051370845971.0,52881019564133.0
02,02,02,Các khoản giảm trừ doanh thu,,(338.823.047.220),(276.256.396.943),,,-338823047220.0,-276256396943.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,24,66.712.547.798.751,52.604.763.167.190,,24.0,66712547798751.0,52604763167190.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,25,(63.473.799.048.283),(50.476.627.454.498),,25.0,-63473799048283.0,-50476627454498.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,3.238.748.750.468,2.128.135.712.692,,,3238748750468.0,2128135712692.0
21,21,21,Doanh thu hoạt động tài chính,26,652.938.094.707,800.850.256.543,,26.0,652938094707.0,800850256543.0
22,22,22,Chi phí tài chính,27,(251.550.025.718),(300.217.604.297),,27.0,-251550025718.0,-300217604297.0
23,23,23,- Trong đó: Chi phí lãi vay,27,(131.805.003.372),(184.694.883.045),,27.0,-131805003372.0,-184694883045.0
25,25,25,Chi phí bán hàng,28,(2.858.708.812.560),(2.121.829.595.199),,28.0,-2858708812560.0,-2121829595199.0
26,26,26,Chi phí quản lý doanh nghiệp,29,(308.367.699.972),(242.553.285.595),,29.0,-308367699972.0,-242553285595.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,473.060.306.925,264.385.484.144,,,473060306925.0,264385484144.0
31,31,31,Thu nhập khác,,34.684.261.898,45.338.320.487,,,34684261898.0,45338320487.0
32,32,32,Chi phí khác,,(5.192.249.642),(631.991.708),,,-5192249642.0,-631991708.0
40,40,40,Lợi nhuận khác,30,29.492.012.256,44.706.328.779,,30.0,29492012256.0,44706328779.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,502.552.319.181,309.091.812.923,,,502552319181.0,309091812923.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”) hiện hành,31,(99.693.200),(1.536.979.754),,31.0,-99693200.0,-1536979754.0
52,52,52,Thu nhập/(chi phí) thuế TNDN hoãn lại,31,26.469.681.181,(59.265.850.625),,31.0,26469681181.0,-59265850625.0
60,60,60,Lợi nhuận sau thuế TNDN,,528.922.307.162,248.288.982.544,,,528922307162.0,248288982544.0
