row_label_raw,row_label_full,col_0,col_1,Tại ngày1.10.2023VND,Số phải thu/phàinộp trong nămVND,Số đã thực nộptrong nămVND,Số đã cán trữtrong nămVND,Số đã được hoàntrong nămVND,Phân loại lạiVND,Tại ngày30.9.2024VND,numeric__col_1,numeric__Tại ngày1.10.2023VND,numeric__Số phải thu/phàinộp trong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Số đã cán trữtrong nămVND,numeric__Số đã được hoàntrong nămVND,numeric__Phân loại lạiVND,numeric__Tại ngày30.9.2024VND
(a),(a),(a),Thuế GTGT được khấu trừThuế GTGTđược khấu trừ,285.106.020.138,6.801.704.600.196,-,(5.099.550.053.183),(1.660.358.412.147),-,326.902.155.004,,285106020138.0,6801704600196.0,,-5099550053183.0,-1660358412147.0,,326902155004.0
(b),(b),(b),Phải thuThuế TNDN,128.498.372.448,-,-,-,-,(99.693.200),128.398.679.248,,128498372448.0,,,,,-99693200.0,128398679248.0
(b),(b),(b),Thuế thu nhập cá nhân,32.213.344,-,-,-,-,(32.213.344),-,,32213344.0,,,,,-32213344.0,
(b),(b),(b),,128.530.585.792,-,-,-,-,(131.906.544),128.398.679.248,,128530585792.0,,,,,-131906544.0,128398679248.0
(c),(c),(c),Phải nộpThuế GTGT hàngnhập khẩu,142.077.492.529,1.278.657.310.462,(1.362.607.672.466),-,-,-,58.127.130.525,,142077492529.0,1278657310462.0,-1362607672466.0,,,,58127130525.0
(c),(c),(c),Thuế GTGT,761.322.753,5.168.683.876.375,(56.724.284.557),(5.099.550.053.183),-,-,13.170.861.388,,761322753.0,5168683876375.0,-56724284557.0,-5099550053183.0,,,13170861388.0
(c),(c),(c),Thuế thu nhập cá nhân,1.905.541.818,49.847.375.572,(48.639.842.304),-,-,(32.213.344),3.080.861.742,,1905541818.0,49847375572.0,-48639842304.0,,,-32213344.0,3080861742.0
(c),(c),(c),Thuế xuất nhập khẩu,31.974.921,6.973.177.021,(6.966.895.673),-,-,-,38.256.269,,31974921.0,6973177021.0,-6966895673.0,,,,38256269.0
(c),(c),(c),Thuế TNDN,-,99.693.200,-,-,-,(99.693.200),-,,,99693200.0,,,,-99693200.0,
(c),(c),(c),Khác,729.254.623,11.899.437.427,(12.628.692.050),-,-,-,-,,729254623.0,11899437427.0,-12628692050.0,,,,
(c),(c),(c),,145.505.586.644,6.516.160.870.057,(1.487.567.387.050),(5.099.550.053.183),-,(131.906.544),74.417.109.924,,145505586644.0,6516160870057.0,-1487567387050.0,-5099550053183.0,,-131906544.0,74417109924.0
