row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2024VND,30.9.2023VND,,
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,1.307.180.299.620,734.588.143.602,1307180299620.0,734588143602.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,755.370.213.131,595.641.447.118,755370213131.0,595641447118.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,175.025.526.450,184.212.620.724,175025526450.0,184212620724.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,161.404.676.332,178.504.610.026,161404676332.0,178504610026.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,122.582.402.073,122.664.976.847,122582402073.0,122664976847.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,68.640.499.559,70.115.142.722,68640499559.0,70115142722.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,50.389.347.411,70.351.232.208,50389347411.0,70351232208.0
Khác,Khác,Khác,218.115.847.984,165.751.421.952,218115847984.0,165751421952.0
,,,2.858.708.812.560,2.121.829.595.199,2858708812560.0,2121829595199.0
