row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,37.234.046,8.969.827,2.022.071,4.020.837,6.744.508,58.991.289,37234046.0,8969827.0,2022071.0,4020837.0,6744508.0,58991289.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,6.717.522,6.717.522,,,,,6717522.0,6717522.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,335.876,671.752,(1.007.628),-,,,335876.0,671752.0,-1007628.0,
"Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm",-,-,-,-,(1.412.266),(1.412.266),,,,,-1412266.0,-1412266.0
Trả cổ tức năm 2016,Trả cổ tức năm 2016,Trả cổ tức năm 2016,-,-,-,-,(2.606.383),(2.606.383),,,,,-2606383.0,-2606383.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(623),-,(623),,,,-623.0,,-623.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(17.209),(17.209),,,,,-17209.0,-17209.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,37.234.046,8.969.827,2.357.947,4.691.966,8.418.544,61.672.330,37234046.0,8969827.0,2357947.0,4691966.0,8418544.0,61672330.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.193.214,5.193.214,,,,,5193214.0,5193214.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,259.661,519.321,(778.982),-,,,259661.0,519321.0,-778982.0,
"Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm","Trích lập quỹ khen thưởng, phúc lợi trong năm",-,-,-,-,(1.674.873),(1.674.873),,,,,-1674873.0,-1674873.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(30.079),(30.079),,,,,-30079.0,-30079.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,37.234.046,8.969.827,2.617.608,5.211.287,11.127.824,65.160.592,37234046.0,8969827.0,2617608.0,5211287.0,11127824.0,65160592.0
