row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.226.338,1.802.190,6.028.528,4226338.0,1802190.0,6028528.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,733,25.853,26.586,733.0,25853.0,26586.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.000,78.321,80.321,2000.0,78321.0,80321.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.033),(4.682),(5.715),-1033.0,-4682.0,-5715.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.884),(59),(3.943),-3884.0,-59.0,-3943.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.224.154,1.901.623,6.125.777,4224154.0,1901623.0,6125777.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,255.026,992.605,1.247.631,255026.0,992605.0,1247631.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,36.750,192.066,228.816,36750.0,192066.0,228816.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,118,3.954,4.072,118.0,3954.0,4072.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(1.838),(3.368),(5.206),-1838.0,-3368.0,-5206.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(59),(59),,-59.0,-59.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,290.056,1.185.198,1.475.254,290056.0,1185198.0,1475254.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.971.312,809.585,4.780.897,3971312.0,809585.0,4780897.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.934.098,716.425,4.650.523,3934098.0,716425.0,4650523.0
