row_label_raw,row_label_full,EUR được quy đổi triệu đồng,USD được quy đổi triệu đồng,Các loại ngoại tệ khác quy đổi triệu đồng,Tổng cộng triệu đồng,numeric__USD được quy đổi triệu đồng,numeric__Các loại ngoại tệ khác quy đổi triệu đồng,numeric__Tổng cộng triệu đồng
159.520,159.520,159.520,869.531,124.964,1.154.015,869531.0,124964.0,1154015.0
-,-,-,3.428.889,-,3.428.889,3428889.0,,3428889.0
1.531.339,1.531.339,1.531.339,26.194.607,429.678,28.155.624,26194607.0,429678.0,28155624.0
3.331.263,3.331.263,3.331.263,71.204.987,-,74.536.250,71204987.0,,74536250.0
-,-,-,1.688.788,-,1.688.788,1688788.0,,1688788.0
74.251,74.251,74.251,-,-,74.251,,,74251.0
1.410.890,1.410.890,1.410.890,10.815.328,-,12.226.218,10815328.0,,12226218.0
6.507.263,6.507.263,6.507.263,114.202.130,554.642,121.264.035,114202130.0,554642.0,121264035.0
-,-,-,-,-,-,,,
486.440,- > 486.440,486.440,33.858.563,466.318,34.811.321,33858563.0,466318.0,34811321.0
2.935.601,- > 2.935.601,2.935.601,50.414.439,117.514,53.467.554,50414439.0,117514.0,53467554.0
187.465,- > 187.465,187.465,4.897.114,92,5.084.671,4897114.0,92.0,5084671.0
-,- > -,-,877,-,877,877.0,,877.0
2.589.816,- > 2.589.816,2.589.816,1.205.911,-,3.795.727,1205911.0,,3795727.0
6.199.322,- > 6.199.322,6.199.322,90.376.904,583.924,97.160.150,90376904.0,583924.0,97160150.0
307.941,- > 307.941,307.941,23.825.226,(29.282),24.103.885,23825226.0,-29282.0,24103885.0
-,-,-,-,-,-,,,
307.941,- > 307.941,307.941,23.825.226,(29.282),24.103.885,23825226.0,-29282.0,24103885.0
