row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Chủ tịch (miễn nhiệm từ ngày 13/7/2018 theo Quyết định số 1436/QĐ-NHNN về việc miễn nhiệm người đại diện phần vốn Nhà nước tại Ngân hàng TMCP Công thương Việt Nam),
Ông Lê Đức Thọ,Ông Lê Đức Thọ,Ông Lê Đức Thọ,Chủ tịch (bố nhiệm ngày 31/10/2018 theo Nghị quyết số 568/NQ-HĐQT-NHCT1.2 ngày 31/10/2018),
Ông Trần Minh Bình,Ông Trần Minh Bình,Ông Trần Minh Bình,Thành viên kiểm Tổng giám đốc (bầu bổ sung ngày 8/12/2018 theo Nghị quyết số 19/NQ-ĐHĐCD ngày 8/12/2018),
Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Thành viên (thôi giữ chức vụ kể từ ngày 8/12/2018 theo Nghị quyết số 19/NQ-ĐHĐCD ngày 8/12/2018),
Ông Cát Quang Dương,Ông Cát Quang Dương,Ông Cát Quang Dương,Thành viênGiao phụ trách điều hành hoạt động của HĐQT từ ngày 23/7/2018 theo Nghị quyết số 261/NQ-HĐQT-NHCT1.2 ngày 23/7/2018.Thôi giao phụ trách điều hành hoạt động của HĐQT từ ngày 31/10/2018 theo Nghị quyết số 399/NQ-HĐQT-NHCT1.2 ngày 31/10/2018,
Ông Yotaro Agari,Ông Yotaro Agari,Ông Yotaro Agari,Thành viên (thôi giữ chức vụ từ ngày 21/4/2018),
Ông Hideaki Takase,Ông Hideaki Takase,Ông Hideaki Takase,Thành viên (bầu bổ sung ngày 21/4/2018),
Ông Phùng Khắc Kế,Ông Phùng Khắc Kế,Ông Phùng Khắc Kế,Thành viên,
Bà Trần Thu Huyền,Bà Trần Thu Huyền,Bà Trần Thu Huyền,Thành viên,
Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Ông Hiroshi Yamaguchi,Thành viên,
