row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",6.911.704,-,-,-,-,6.911.704,6.911.704,6911704.0,,,,,6911704.0,6911704.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,23.167.119,-,-,-,-,23.167.119,23.167.119,23167119.0,,,,,23167119.0,23167119.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,131.359.620,-,-,131.359.620,(*),,,131359620.0,,,131359620.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.851.263,-,-,-,-,1.851.263,(*),1851263.0,,,,,1851263.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,281.166,-,-,-,-,281.166,(*),281166.0,,,,,281166.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,855.912.638,-,-,855.912.638,(*),,,855912638.0,,,855912638.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,87.243.509,-,87.243.509,(*),,,,87243509.0,,87243509.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,16.013.551,-,-,-,16.013.551,(*),,16013551.0,,,,16013551.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,170.955,-,170.955,(*),,,,170955.0,,170955.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,30.139.944,-,-,30.139.944,(*),,,30139944.0,,,30139944.0,
,,,32.211.252,16.013.551,1.017.412.202,87.414.464,-,1.153.051.469,(*),32211252.0,16013551.0,1017412202.0,87414464.0,,1153051469.0,
Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,Các khoản nợ chính phủ và NHNN,-,-,-,-,62.600.159,62.600.159,,,,,,62600159.0,62600159.0,
Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,-,-,108.751.130,108.751.130,(*),,,,,108751130.0,108751130.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,824.345.711,824.345.711,(*),,,,,824345711.0,824345711.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,5.934.029,5.934.029,(*),,,,,5934029.0,5934029.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,46.016.359,46.016.359,(*),,,,,46016359.0,46016359.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,41.859.923,41.859.923,(*),,,,,41859923.0,41859923.0,
,,,-,-,-,-,1.089.507.311,1.089.507.311,(*),,,,,1089507311.0,1089507311.0,
