row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018triệu đồng,Ngày 31 tháng 12năm 2017triệu đồng,numeric__Ngày 31 tháng 12năm 2018triệu đồng,numeric__Ngày 31 tháng 12năm 2017triệu đồng
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",20.950.931,100.178.627,20950931.0,100178627.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,131.942,306.586,131942.0,306586.0
Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,Thuế thu nhập doanh nghiệp phải trả,-,85.636,,85636.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,943.945,907.267,943945.0,907267.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,136.959,160.677,136959.0,160677.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,90.046,86.654,90046.0,86654.0
Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,Các khoản phải trả liên quan đến hoạt động tài trợ thương mại,6.005,6.526,6005.0,6526.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,522.803,36.661,522803.0,36661.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,318.493,150.055,318493.0,150055.0
,,,23.101.124,101.918.689,23101124.0,101918689.0
