row_label_raw,row_label_full,col_0,2018triệu đồng,2017triệu đồng,numeric__2018triệu đồng,numeric__2017triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,4.213.470,3.180.961,4213470.0,3180961.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,2.570.880,1.979.136,2570880.0,1979136.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,45.651,-,45651.0,
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,84.876,70.239,84876.0,70239.0
Thu phí khác,Thu phí khác,Thu phí khác,1.512.063,1.131.586,1512063.0,1131586.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(2.082.901),(1.632.472),-2082901.0,-1632472.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.543.197),(1.163.210),-1543197.0,-1163210.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(14.713),(9.150),-14713.0,-9150.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(280.976),(188.639),-280976.0,-188639.0
Chi khác,Chi khác,Chi khác,(244.015),(271.473),-244015.0,-271473.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.130.569,1.548.489,2130569.0,1548489.0
