row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.009.867,4.693.812,1.167.971,252.793,13.124.443,7009867.0,4693812.0,1167971.0,252793.0,13124443.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,33.528,141.902,156.172,20.258,351.860,33528.0,141902.0,156172.0,20258.0,351860.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,106.146,57.602,4.315,15.551,183.614,106146.0,57602.0,4315.0,15551.0,183614.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,296,-,(296),-,,296.0,,-296.0,
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,73.527,106.370,5.963,8.920,194.780,73527.0,106370.0,5963.0,8920.0,194780.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(40.164),(25.111),(16.237),(2.215),(83.727),-40164.0,-25111.0,-16237.0,-2215.0,-83727.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(49.697),(6.338),(7.100),(2.891),(66.026),-49697.0,-6338.0,-7100.0,-2891.0,-66026.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.133.207,4.968.533,1.311.084,292.120,13.704.944,7133207.0,4968533.0,1311084.0,292120.0,13704944.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.722.361,4.088.734,849.760,163.749,6.824.604,1722361.0,4088734.0,849760.0,163749.0,6824604.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,269.753,364.678,106.988,51.393,792.812,269753.0,364678.0,106988.0,51393.0,792812.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,245,-,(245),-,,245.0,,-245.0,
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,9.716,53.929,2.484,11.583,77.712,9716.0,53929.0,2484.0,11583.0,77712.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.568),(24.434),(15.948),(2.076),(50.026),-7568.0,-24434.0,-15948.0,-2076.0,-50026.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(6.064),(8.279),(12.130),(2.351),(28.824),-6064.0,-8279.0,-12130.0,-2351.0,-28824.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.988.198,4.474.873,931.154,222.053,7.616.278,1988198.0,4474873.0,931154.0,222053.0,7616278.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.287.506,605.078,318.211,89.044,6.299.839,5287506.0,605078.0,318211.0,89044.0,6299839.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.145.009,493.660,379.930,70.067,6.088.666,5145009.0,493660.0,379930.0,70067.0,6088666.0
