row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_3,Mẫu B05/TCTD-HN,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)_3,numeric__Mẫu B05/TCTD-HN
Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,Báo cáo bộ phận theo khu vực địa lý,,,,
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,,
,,,Trong nướcTriệu VND,Nước ngoàiTriệu VND,Điều chỉnh hợp nhấtTriệu VND,Tổng cộngTriệu VND,,,,
Kết quả kinh doanh bộ phận sau thuế,Năm 2024 > Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,25.530.573,(20.028),93.492,25.604.037,25530573.0,-20028.0,93492.0,25604037.0
Tổng tài sản tại ngày cuối năm,Năm 2024 > Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,2.737.811.202,45.672.495,(22.691.843),2.760.791.854,2737811202.0,45672495.0,-22691843.0,2760791854.0
Tổng nợ phải trả tại ngày cuối năm,Năm 2024 > Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,2.591.504.659,41.888.639,(17.512.557),2.615.880.741,2591504659.0,41888639.0,-17512557.0,2615880741.0
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,
,,,Trong nướcTriệu VND,Nước ngoàiTriệu VND,Điều chỉnh hợp nhấtTriệu VND,Tổng cộngTriệu VND,,,,
Kết quả kinh doanh bộ phận,Năm 2023 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,22.412.680,(33.149),(402.390),21.977.141,22412680.0,-33149.0,-402390.0,21977141.0
Tổng tài sản tại ngày cuối năm,Năm 2023 > Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,2.286.541.207,41.686.941,(27.359.420),2.300.868.728,2286541207.0,41686941.0,-27359420.0,2300868728.0
Tổng nợ phải trả tại ngày cuối năm,Năm 2023 > Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,2.161.903.901,37.975.146,(21.877.208),2.178.001.839,2161903901.0,37975146.0,-21877208.0,2178001839.0
