row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động số,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
1,1,1,"Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản BIDV (""BAMC"")",0101196750 ngày 21 tháng 11 năm 2024 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Quản lý nợ và khai thác tài sản,"100,00%",,,,1.0
2,2,2,"Công ty Cổ phần Chứng khoán BIDV (""BSC"")",111/GP-UBCK ngày 31 tháng 12 năm 2010 của Ủy ban Chứng khoán Nhà nước và Giấy phép điều chỉnh số 70/GPĐC-UBCK ngày 13 tháng 9 năm 2023 của Ủy ban Chứng khoán Nhà nước cấp,Chứng khoán,"51,96%",,,,0.5196000000000001
3,3,3,"Tổng Công ty Cổ phần Bảo hiểm BIDV (""BIC"")",11/GPĐC20/KDBH ngày 26 tháng 7 năm 2022 của Bộ Tài chính,Bảo hiểm,"51,00%",,,,0.51
4,4,4,"Công ty Cổ phần Chứng khoán MHB (""MHBS"")",45/UBCK-GPHĐKD ngày 28 tháng 12 năm 2006 của Ủy ban Chứng khoán Nhà nước,Chứng khoán,"60,00%",,,,0.6
5,5,5,"Ngân hàng Đầu tư và Phát triển Campuchia (""BIDC"")",B7.09.148 ngày 14 tháng 8 năm 2009 của Ngân hàng Quốc gia Campuchia,Ngân hàng,"98,50%",,,,0.985
