row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,TổngTriệu VND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__TổngTriệu VND
,,,Trên 3 thángTriệu VND,Đến 3 thángTriệu VND,Đến1 thángTriệu VND,Từ trên 1đến3 thángTriệu VND,Từ trên 3 đến12 thángTriệu VND,Từ trên 1năm đến 5nămTriệu VND,Trên5 nămTriệu VND,TổngTriệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,10.772.890,-,-,-,-,10.772.890,,,10772890.0,,,,,10772890.0
Tiền gửi tại Ngân hàng Trung ương,Tài sản > Tiền gửi tại Ngân hàng Trung ương,Tiền gửi tại Ngân hàng Trung ương,-,-,92.341.029,-,-,-,-,92.341.029,,,92341029.0,,,,,92341029.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),641,-,208.205.996,26.165.476,41.818.770,3.564.155,297.331,280.052.369,641.0,,208205996.0,26165476.0,41818770.0,3564155.0,297331.0,280052369.0
Các công cụ tài chính phải sinh và các tài sản chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản chính khác,Các công cụ tài chính phải sinh và các tài sản chính khác,-,-,1.029.563,(37.926),(314.816),(13.565),-,663.256,,,1029563.0,-37926.0,-314816.0,-13565.0,,663256.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,1.286.553,201.249,2.342.567,8.292.771,650.200,12.773.340,,,1286553.0,201249.0,2342567.0,8292771.0,650200.0,12773340.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),33.637.700,11.387.805,130.702.521,460.217.121,794.706.441,272.626.002,358.848.573,2.062.126.163,33637700.0,11387805.0,130702521.0,460217121.0,794706441.0,272626002.0,358848573.0,2062126163.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,-,4.165.840,4.997.553,93.847.289,80.613.162,89.371.285,272.995.129,,,4165840.0,4997553.0,93847289.0,80613162.0,89371285.0,272995129.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,3.531.426,3.531.426,,,,,,,3531426.0,3531426.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,1.028,18.270,12.100.519,12.119.817,,,,,1028.0,18270.0,12100519.0,12119817.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),304.276,-,6.599.449,14.791.742,21.850.467,3.483.120,6.158.882,53.187.936,304276.0,,6599449.0,14791742.0,21850467.0,3483120.0,6158882.0,53187936.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),33.942.617,11.387.805,455.103.841,506.335.215,954.251.746,368.583.915,470.958.216,2.800.563.355,33942617.0,11387805.0,455103841.0,506335215.0,954251746.0,368583915.0,470958216.0,2800563355.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,Các khoản nợ Chính phủ và Ngân hàng,,,,,,,,
"Trung ương, tiền gửi và vay các TCTD khác","Các khoản nợ Chính phủ và Ngân hàng > Trung ương, tiền gửi và vay các TCTD khác","Trung ương, tiền gửi và vay các TCTD khác",-,-,322.121.592,58.044.355,20.008.923,479.161,688.994,401.343.025,,,322121592.0,58044355.0,20008923.0,479161.0,688994.0,401343025.0
Tiền gửi của khách hàng,Các khoản nợ Chính phủ và Ngân hàng > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,44.182.393,449.382.224,869.840.557,589.628.875,131.437,1.953.165.486,,,44182393.0,449382224.0,869840557.0,589628875.0,131437.0,1953165486.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chju rủi ro","Các khoản nợ Chính phủ và Ngân hàng > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chju rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chju rủi ro",-,-,563.200,105.993,905.422,5.494.108,4.912.744,11.981.467,,,563200.0,105993.0,905422.0,5494108.0,4912744.0,11981467.0
Phát hành giấy tờ có giá,Các khoản nợ Chính phủ và Ngân hàng > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,10.102.586,13.885.029,120.405.407,9.367.496,45.139.647,198.900.165,,,10102586.0,13885029.0,120405407.0,9367496.0,45139647.0,198900165.0
Các khoản nợ khác,Các khoản nợ Chính phủ và Ngân hàng > Các khoản nợ khác,Các khoản nợ khác,-,-,8.280.374,11.614.020,28.915.581,1.124.438,556.185,50.490.598,,,8280374.0,11614020.0,28915581.0,1124438.0,556185.0,50490598.0
Tổng nợ phải trả (2),Các khoản nợ Chính phủ và Ngân hàng > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,385.250.145,533.031.621,1.040.075.890,606.094.078,51.429.007,2.615.880.741,,,385250145.0,533031621.0,1040075890.0,606094078.0,51429007.0,2615880741.0
Mức chênh thanh khoản ròng (3) = (1) - (2),Các khoản nợ Chính phủ và Ngân hàng > Mức chênh thanh khoản ròng (3) = (1) - (2),Mức chênh thanh khoản ròng (3) = (1) - (2),33.942.617,11.387.805,69.853.696,(26.696.406),(85.824.144),(237.510.163),419.529.209,184.682.614,33942617.0,11387805.0,69853696.0,-26696406.0,-85824144.0,-237510163.0,419529209.0,184682614.0
