row_label_raw,row_label_full,Năm 2023,Năm 2023_1,Năm 2023_2,Năm 2023_3,Năm 2023_4,Năm 2023_5,Năm 2023_6,Năm 2023_7,numeric__Năm 2023_1,numeric__Năm 2023_2,numeric__Năm 2023_3,numeric__Năm 2023_4,numeric__Năm 2023_5,numeric__Năm 2023_6,numeric__Năm 2023_7
,,,Ngân hàng Triệu VND,Cho thuê tài chính Triệu VND,Bảo hiểm Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Điều chỉnh hợp nhất Triệu VND,Tổng cộng Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,55.021.445,240.757,381.256,409.108,5.700,77.300,56.135.566,55021445.0,240757.0,381256.0,409108.0,5700.0,77300.0,56135566.0
-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,55.098.744,240.757,381.257,409.108,5.700,-,56.135.566,55098744.0,240757.0,381257.0,409108.0,5700.0,,56135566.0
-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,(77.299),-,(1),-,-,77.300,-,-77299.0,,-1.0,,,77300.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,2.357.574,(502),926.386,173.277,14.282,3.098.853,6.569.870,2357574.0,-502.0,926386.0,173277.0,14282.0,3098853.0,6569870.0
-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,-Từ các giao dịch với khách hàng bên ngoài,5.458.891,(502),923.922,173.277,14.282,-,6.569.870,5458891.0,-502.0,923922.0,173277.0,14282.0,,6569870.0
-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,-Từ các giao dịch với các bộ phận khác,(3.101.317),-,2.464,-,-,3.098.853,-,-3101317.0,,2464.0,,,3098853.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,4.701.455,(4.771),10.684,3,-,-,4.707.371,4701455.0,-4771.0,10684.0,3.0,,,4707371.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,3.007.006,-,1.530,228.642,-,(60.042),3.177.136,3007006.0,,1530.0,228642.0,,-60042.0,3177136.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.849.365,5.061,935,692,76,(1.788.330),2.067.799,3849365.0,5061.0,935.0,692.0,76.0,-1788330.0,2067799.0
"Lãi thuần từ góp vốn, mua cổ phần","Lãi thuần từ góp vốn, mua cổ phần","Lãi thuần từ góp vốn, mua cổ phần",337.275,-,10.939,10.443,-,(3.382),355.275,337275.0,,10939.0,10443.0,,-3382.0,355275.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,69.274.120,240.545,1.331.730,822.165,20.058,1.324.399,73.013.017,69274120.0,240545.0,1331730.0,822165.0,20058.0,1324399.0,73013017.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(13.800.328),(73.611),(444.103),(214.462),(14.357),68.784,(14.478.077),-13800328.0,-73611.0,-444103.0,-214462.0,-14357.0,68784.0,-14478077.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,(1.272.693),(2.558),(9.513),(8.508),(129),2,(1.293.399),-1272693.0,-2558.0,-9513.0,-8508.0,-129.0,2.0,-1293399.0
