row_label_raw,row_label_full,Bên liên quan,Số dư,31/12/2023,31/12/2023_1,numeric__Số dư,numeric__31/12/2023,numeric__31/12/2023_1
Bên liên quan,Bên liên quan,Bên liên quan,Số dư,Phải thu Triệu VND,Phải trả Triệu VND,,,
Đại diện chủ sở hữu (NHNN),Bên liên quan > Đại diện chủ sở hữu (NHNN),Đại diện chủ sở hữu (NHNN),- Tiền gửi của BIDV tại đại diện chủ sở hữu- Các khoản vay của BIDV từ đại diện chủ sở hữu,46.891.721-,-4.552.505,,,-4552505.0
Bên liên quan của chủ sở hữu (Bộ Tài chính và Kho bạc Nhà nước),Bên liên quan > Bên liên quan của chủ sở hữu (Bộ Tài chính và Kho bạc Nhà nước),Bên liên quan của chủ sở hữu (Bộ Tài chính và Kho bạc Nhà nước),- Tiền gửi của bên liên quan của chủ sở hữu tại Ngân hàng,-,29.841.503,,,29841503.0
Cổ đông chiến lược,Bên liên quan > Cổ đông chiến lược,Cổ đông chiến lược,- Tiền gửi của Ngân hàng tại cổ đông chiến lược- Tiền gửi tại BIDV của cổ đông chiến lược,55.693-,-298.169,,,-298169.0
Các công ty liên doanh,Bên liên quan > Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi tại BIDV của các công ty liên doanh- Tiền gửi của BIDV tại các công ty liên doanh- Phải thu các công ty liên doanh,-2.616.02750.000,4.135.697--,,-261602750000.0,
