row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cố phânTriệu VND,Vốn khácTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Quỹ dự trữ bổ sungvốn điều lệTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Quỹ khác thuộc Vốnchủ sở hữuTriệu VND,Chênh lệchtỷ giáhối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Lợi ích cố đôngkhôngkiểm soátTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cố phânTriệu VND,numeric__Vốn khácTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Quỹ dự trữ bổ sungvốn điều lệTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Quỹ khác thuộc Vốnchủ sở hữuTriệu VND,numeric__Chênh lệchtỷ giáhối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Lợi ích cố đôngkhôngkiểm soátTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,57.004.359,15.361.020,345.918,10.132.171,5.217.111,253.990,58.975,(803.547),30.330.738,4.966.154,122.866.889,57004359.0,15361020.0,345918.0,10132171.0,5217111.0,253990.0,58975.0,-803547.0,30330738.0,4966154.0,122866889.0
Tăng vốn từ trả cố tức bằng cố phiếu,Tăng vốn từ trả cố tức bằng cố phiếu,Tăng vốn từ trả cố tức bằng cố phiếu,11.970.794,-,-,-,-,-,-,-,(11.970.794),-,-,11970794.0,,,,,,,,-11970794.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,25.140.037,464.000,25.604.037,,,,,,,,,25140037.0,464000.0,25604037.0
Trích/tạm trích các quỹ năm2024,Trích/tạm trích các quỹ năm2024,Trích/tạm trích các quỹ năm2024,-,-,-,2.463.344,1.234.464,36.046,-,-,(3.733.854),-,-,,,,2463344.0,1234464.0,36046.0,,,-3733854.0,,
"Tạm trích quỹ khen thưởng,phúc lợi năm 2024","Tạm trích quỹ khen thưởng,phúc lợi năm 2024","Tạm trích quỹ khen thưởng,phúc lợi năm 2024",-,-,-,-,-,-,-,-,(3.041.449),(79.856),(3.121.305),,,,,,,,,-3041449.0,-79856.0,-3121305.0
"Trích bố sung quỹ khen thưởng,phúc lợi các năm trước","Trích bố sung quỹ khen thưởng,phúc lợi các năm trước","Trích bố sung quỹ khen thưởng,phúc lợi các năm trước",-,-,-,-,-,-,-,-,(467.805),-,(467.805),,,,,,,,,-467805.0,,-467805.0
Tăng vốn của công ty con,Tăng vốn của công ty con,Tăng vốn của công ty con,-,-,106.705,-,-,-,-,-,(106.705),-,-,,,106705.0,,,,,,-106705.0,,
Công ty con trả cố tức,Công ty con trả cố tức,Công ty con trả cố tức,-,-,-,-,-,-,-,-,-,(94.460),(94.460),,,,,,,,,,-94460.0,-94460.0
Chênh lệch tỷ giá doquy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá doquy đổi đơn vị tiền tệ báo cáo,Chênh lệch tỷ giá doquy đổi đơn vị tiền tệ báo cáo,-,-,-,-,2.286,-,(1.567),102.511,10.870,(12.293),101.807,,,,,2286.0,,-1567.0,102511.0,10870.0,-12293.0,101807.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,-,-,31.456,(9.506),21.950,,,,,,,,,31456.0,-9506.0,21950.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,68.975.153,15.361.020,452.623,12.595.515,6.453.861,290.036,57.408,(701.036),36.192.494,5.234.039,144.911.113,68975153.0,15361020.0,452623.0,12595515.0,6453861.0,290036.0,57408.0,-701036.0,36192494.0,5234039.0,144911113.0
