row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,Thiết bị dụngcụ quản lýTriệu VND,TSCD hữu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tảiTriệu VND,numeric__Thiết bị dụngcụ quản lýTriệu VND,numeric__TSCD hữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,7.803.549,5.722.415,1.653.344,218.034,211.004,15.608.346,7803549.0,5722415.0,1653344.0,218034.0,211004.0,15608346.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,22.110,710.009,101.943,12.105,10.480,856.647,22110.0,710009.0,101943.0,12105.0,10480.0,856647.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,234.896,218.266,48.010,22.007,3.760,526.939,234896.0,218266.0,48010.0,22007.0,3760.0,526939.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.953),(174.273),(66.750),(10.351),(8.076),(270.403),-10953.0,-174273.0,-66750.0,-10351.0,-8076.0,-270403.0
Tăng/(giảm) khác,Nguyên giá TSCĐ hữu hình > Tăng/(giảm) khác,Tăng/(giảm) khác,13.563,13.982,558,(7.122),2.609,23.590,13563.0,13982.0,558.0,-7122.0,2609.0,23590.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,8.063.165,6.490.399,1.737.105,234.673,219.777,16.745.119,8063165.0,6490399.0,1737105.0,234673.0,219777.0,16745119.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.086.107,4.529.771,1.286.017,182.894,122.195,9.206.984,3086107.0,4529771.0,1286017.0,182894.0,122195.0,9206984.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,328.757,500.514,111.958,22.724,26.021,989.974,328757.0,500514.0,111958.0,22724.0,26021.0,989974.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.931),(171.948),(59.282),(10.322),(7.778),(257.261),-7931.0,-171948.0,-59282.0,-10322.0,-7778.0,-257261.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,537,11.462,410,(6.282),90,6.217,537.0,11462.0,410.0,-6282.0,90.0,6217.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.407.470,4.869.799,1.339.103,189.014,140.528,9.945.914,3407470.0,4869799.0,1339103.0,189014.0,140528.0,9945914.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.717.442,1.192.644,367.327,35.140,88.809,6.401.362,4717442.0,1192644.0,367327.0,35140.0,88809.0,6401362.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.655.695,1.620.600,398.002,45.659,79.249,6.799.205,4655695.0,1620600.0,398002.0,45659.0,79249.0,6799205.0
