row_label_raw,row_label_full,Họ và tên,Chức vụ,2024,2023,Ghi chú,numeric__Chức vụ,numeric__2024,numeric__2023,numeric__Ghi chú
Ông Hoàng Việt Hùng,Ông Hoàng Việt Hùng,Ông Hoàng Việt Hùng,Phó TổngGiám đốc,1.790,1.641,,,1790.0,1641.0,
Ông Phan Thanh Hải,Ông Phan Thanh Hải,Ông Phan Thanh Hải,Phó TổngGiám đốc,1.719,1.625,,,1719.0,1625.0,
Ông Đoàn Việt Nam,Ông Đoàn Việt Nam,Ông Đoàn Việt Nam,Phó TổngGiám đốc,1.503,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,1503.0,,
Ông Lại Tiến Quân,Ông Lại Tiến Quân,Ông Lại Tiến Quân,Phó TổngGiám đốc,1.503,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,1503.0,,
Bà Bùi Thị Hòa,Bà Bùi Thị Hòa,Bà Bùi Thị Hòa,Kế toán trưởng,1.306,-,Bố nhiệm ngày 1 tháng 3 năm 2024,,1306.0,,
"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường","THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường",,,,
Bà Tạ Thị Hạnh,"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường > Bà Tạ Thị Hạnh",Bà Tạ Thị Hạnh,Trường BanKiểm soát,1.987,1.818,Miễn nhiệm KTT ngày 30 tháng 1 năm 2024,,1987.0,1818.0,
Bà Tạ Thị Hạnh,"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường > Bà Tạ Thị Hạnh",Bà Tạ Thị Hạnh,Trường BanKiểm soát,1.987,1.818,Bố nhiệm Trường ban Kiểm soát ngày 30 tháng 1 năm 2024,,1987.0,1818.0,
Ông Cao Cự Trí,"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường > Ông Cao Cự Trí",Ông Cao Cự Trí,Thành viênchuyên trách,1.306,1.487,Thôi giao nhiệm vụ Thành viên phụ trách Ban Kiểm soát từ ngày 30 tháng 1 năm 2024,,1306.0,1487.0,
Bà Nguyễn Thị Thu Hà,"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường > Bà Nguyễn Thị Thu Hà",Bà Nguyễn Thị Thu Hà,Thành viênchuyên trách,1.052,974,,,1052.0,974.0,
Ông Nguyễn Trung Kiên,"THÀNH VIÊN BAN KIỂM SOÁTThù lao, thường > Ông Nguyễn Trung Kiên",Ông Nguyễn Trung Kiên,Thành viênchuyên trách,970,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,970.0,,
