row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.827.916,2.301.868,23.501,7.153.285,4827916.0,2301868.0,23501.0,7153285.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,84.554,863.260,-,947.814,84554.0,863260.0,,947814.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(70),(5.331),-,(5.401),-70.0,-5331.0,,-5401.0
Tăng/(giảm) khác,Nguyên giá TSCĐ vô hình > Tăng/(giảm) khác,Tăng/(giảm) khác,(787),8.441,(24),7.630,-787.0,8441.0,-24.0,7630.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.911.613,3.168.238,23.477,8.103.328,4911613.0,3168238.0,23477.0,8103328.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,513.527,1.935.653,9.326,2.458.506,513527.0,1935653.0,9326.0,2458506.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,45.968,274.629,2.290,322.887,45968.0,274629.0,2290.0,322887.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(29),(5.331),-,(5.360),-29.0,-5331.0,,-5360.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,6.705,(22),6.683,,6705.0,-22.0,6683.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,559.466,2.211.656,11.594,2.782.716,559466.0,2211656.0,11594.0,2782716.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.314.389,366.215,14.175,4.694.779,4314389.0,366215.0,14175.0,4694779.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.352.147,956.582,11.883,5.320.612,4352147.0,956582.0,11883.0,5320612.0
