row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2024 Triệu VND,2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,138.288.411,152.761.316,,25.0,138288411.0,152761316.0
2.,2.,2.,Chỉ phí lãi và các chỉ phí tương tự,26,(80.280.835),(96.625.750),,26.0,-80280835.0,-96625750.0
I.,I.,I.,Thu nhập lãi thuần,,58.007.576,56.135.566,,,58007576.0,56135566.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,13.465.312,11.893.400,,,13465312.0,11893400.0
4.,4.,4.,Chỉ phí hoạt động dịch vụ,,(6.390.867),(5.323.530),,,-6390867.0,-5323530.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,27,7.074.445,6.569.870,,27.0,7074445.0,6569870.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,5.361.499,4.707.371,,28.0,5361499.0,4707371.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,284.513,305.396,,291.0,284513.0,305396.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán đầu tư,29.2,4.900.330,2.871.740,,292.0,4900330.0,2871740.0
5.,5.,5.,Thu nhập từ hoạt động khác,,9.191.893,6.542.525,,,9191893.0,6542525.0
6.,6.,6.,Chỉ phí hoạt động khác,,(4.205.132),(4.474.726),,,-4205132.0,-4474726.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,30,4.986.761,2.067.799,,30.0,4986761.0,2067799.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",31,445.742,355.275,,31.0,445742.0,355275.0
VII.,VII.,VII.,Tổng thu nhập hoạt động,,81.060.866,73.013.017,,,81060866.0,73013017.0
VIII.,VIII.,VIII.,Tổng chi phí hoạt động,32,(27.966.817),(25.080.598),,32.0,-27966817.0,-25080598.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chỉ phí dự phòng rủi ro tín dụng,,53.094.049,47.932.419,,,53094049.0,47932419.0
X.,X.,X.,Chỉ phí dự phòng rủi ro tín dụng,33,(21.109.180),(20.343.515),,33.0,-21109180.0,-20343515.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,31.984.869,27.588.904,,,31984869.0,27588904.0
7.,7.,7.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,34,(6.384.627),(5.615.711),,34.0,-6384627.0,-5615711.0
8.,8.,8.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,3.795,3.948,,,3795.0,3948.0
XII.,XII.,XII.,Chỉ phí thuế thu nhập doanh nghiệp,,(6.380.832),(5.611.763),,,-6380832.0,-5611763.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế,,25.604.037,21.977.141,,,25604037.0,21977141.0
XIII.,XIII.,XIII.,Phân bổ lãi cho cổ đông không kiểm soát,,(464.000),(472.223),,,-464000.0,-472223.0
XIII.,XIII.,XIII.,Lợi nhuận thuần của cổ đông của Ngân hàng,,25.140.037,21.504.918,,,25140037.0,21504918.0
XIII.,XIII.,XIII.,Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),35,3.204,2.739,,35.0,3204.0,2739.0
